Movie Name,Genre,Rating,Voting Counts,Duration
1. Mahavatar Narsimha,Action,9.2,32000,2h 10m
2. Freaky Tales,Action,6.3,11000,1h 47m
3. Gladiator II,Action,6.5,270000,2h 28m
4. William Tell,Action,5.7,4700,2h 14m
5. Dune: Part Two,Action,8.5,659000,2h 46m
6. The Ministry of Ungentlemanly Warfare,Action,6.8,144000,2h 2m
7. Kingdom of the Planet of the Apes,Action,6.8,159000,2h 25m
8. Deadpool & Wolverine,Action,7.5,522000,2h 8m
9. Furiosa: A Mad Max Saga,Action,7.5,299000,2h 28m
10. Twisters,Action,6.5,182000,2h 2m
11. Relay,Action,7.2,835,1h 52m
12. Carry-On,Action,6.5,178000,1h 59m
13. Kraven the Hunter,Action,5.5,70000,2h 7m
14. River of Blood,Action,4.8,2400,1h 26m
15. Civil War,Action,7.0,249000,1h 49m
16. Rebel Ridge,Action,6.8,94000,2h 11m
17. The Beekeeper,Action,6.3,167000,1h 45m
18. The Fall Guy,Action,6.8,233000,2h 6m
19. Sonic the Hedgehog 3,Action,6.9,70000,1h 50m
20. The Count of Monte-Cristo,Action,7.6,40000,2h 58m
21. Venom: The Last Dance,Action,6.0,138000,1h 50m
22. Monkey Man,Action,6.8,95000,2h 1m
23. Road House,Action,6.2,173000,2h 1m
24. 40 Acres,Action,6.5,3300,1h 53m
25. Abigail,Action,6.5,103000,1h 49m
26. Fight or Flight,Action,6.4,18000,1h 42m
27. The Unholy Trinity,Action,5.5,3100,1h 35m
28. Drive-Away Dolls,Action,5.4,25000,1h 24m
29. Madame Web,Action,4.1,106000,1h 56m
30. Land of Bad,Action,6.6,55000,1h 53m
31. Bad Boys: Ride or Die,Action,6.5,105000,1h 55m
32. Godzilla x Kong: The New Empire,Action,6.0,127000,1h 55m
33. Transformers One,Action,7.6,57000,1h 44m
34. Red One,Action,6.3,145000,2h 3m
35. Borderlands,Action,4.7,52000,1h 41m
36. Maharaja,Action,8.4,73000,2h 21m
37. The Prosecutor,Action,6.5,3100,1h 57m
38. Argylle,Action,5.6,95000,2h 19m
39. The Union,Action,5.5,55000,1h 47m
40. Elevation,Action,5.6,26000,1h 31m
41. The Crow,Action,4.7,38000,1h 51m
42. The Lord of the Rings: The War of the Rohirrim,Action,6.3,35000,2h 14m
43. Dirty Angels,Action,4.5,4900,1h 44m
44. Damsel,Action,6.1,113000,1h 50m
45. Beverly Hills Cop: Axel F,Action,6.4,84000,1h 58m
46. Kung Fu Panda 4,Action,6.3,73000,1h 34m
47. Old Guy,Action,5.2,4000,1h 34m
48. Vettaiyan,Action,6.9,40000,2h 43m
49. Hellboy: The Crooked Man,Action,4.5,15000,1h 39m
50. The Instigators,Action,6.2,40000,1h 41m
51. The Killer,Action,5.7,15000,2h 6m
52. Weekend in Taipei,Action,5.7,5800,1h 40m
53. Attack on Titan the Movie: The Last Attack,Action,9.2,19000,2h 25m
54. Kalki 2898 AD,Action,7.0,70000,3h
55. Weapon,Action,5.6,6500,2h
56. Jackpot!,Action,5.8,32000,1h 46m
57. Long Gone Heroes,Action,5.1,1500,1h 41m
58. Homestead,Action,5.2,4500,1h 52m
59. Megamind vs. The Doom Syndicate,Action,2.4,5900,1h 23m
60. Pushpa: The Rule - Part 2,Action,6.1,61000,3h 21m
61. Uglies,Action,4.7,35000,1h 40m
62. Azrael,Action,5.3,13000,1h 26m
63. Boneyard,Action,4.1,5400,1h 36m
