Movie Name,Genre,Rating,Voting Counts,Duration
1. Freaky Tales,Adventure,6.3,11000,1h 47m
2. Sketch,Adventure,7.2,1700,1h 33m
3. Gladiator II,Adventure,6.5,270000,2h 28m
4. Dune: Part Two,Adventure,8.5,659000,2h 46m
5. Kingdom of the Planet of the Apes,Adventure,6.8,159000,2h 25m
6. Deadpool & Wolverine,Adventure,7.5,522000,2h 8m
7. Furiosa: A Mad Max Saga,Adventure,7.5,299000,2h 28m
8. Twisters,Adventure,6.5,182000,2h 2m
9. The Wild Robot,Adventure,8.2,193000,1h 42m
10. Kraven the Hunter,Adventure,5.5,70000,2h 7m
11. River of Blood,Adventure,4.8,2400,1h 26m
12. Flow,Adventure,7.9,92000,1h 25m
13. Sonic the Hedgehog 3,Adventure,6.9,70000,1h 50m
14. The Count of Monte-Cristo,Adventure,7.6,40000,2h 58m
15. Venom: The Last Dance,Adventure,6.0,138000,1h 50m
16. Moana 2,Adventure,6.5,115000,1h 40m
17. The Unholy Trinity,Adventure,5.5,3100,1h 35m
18. Mufasa: The Lion King,Adventure,6.6,75000,1h 58m
19. Bad Boys: Ride or Die,Adventure,6.5,105000,1h 55m
20. Godzilla x Kong: The New Empire,Adventure,6.0,127000,1h 55m
21. Transformers One,Adventure,7.6,57000,1h 44m
22. Inside Out 2,Adventure,7.5,229000,1h 36m
23. Paddington in Peru,Adventure,6.6,28000,1h 46m
24. Red One,Adventure,6.3,145000,2h 3m
25. The Return,Adventure,6.2,12000,1h 56m
26. Borderlands,Adventure,4.7,52000,1h 41m
27. Despicable Me 4,Adventure,6.2,71000,1h 34m
28. Ghostbusters: Frozen Empire,Adventure,6.1,98000,1h 55m
29. The Lord of the Rings: The War of the Rohirrim,Adventure,6.3,35000,2h 14m
30. Monster Summer,Adventure,5.7,5300,1h 37m
31. Damsel,Adventure,6.1,113000,1h 50m
32. Spaceman,Adventure,5.7,45000,1h 47m
33. Kung Fu Panda 4,Adventure,6.3,73000,1h 34m
34. Attack on Titan the Movie: The Last Attack,Adventure,9.2,19000,2h 25m
