Movie Name,Genre,Rating,Voting Counts,Duration
1. Mahavatar Narsimha,Animation,9.2,32000,2h 10m
2. The Wild Robot,Animation,8.2,193000,1h 42m
3. Flow,Animation,7.9,92000,1h 25m
4. Moana 2,Animation,6.5,115000,1h 40m
5. Mufasa: The Lion King,Animation,6.6,75000,1h 58m
6. Transformers One,Animation,7.6,57000,1h 44m
7. Inside Out 2,Animation,7.5,229000,1h 36m
8. IF,Animation,6.4,61000,1h 44m
9. Despicable Me 4,Animation,6.2,71000,1h 34m
10. Spermageddon,Animation,5.4,1800,1h 20m
11. The Lord of the Rings: The War of the Rohirrim,Animation,6.3,35000,2h 14m
12. Kung Fu Panda 4,Animation,6.3,73000,1h 34m
13. Memoir of a Snail,Animation,7.8,21000,1h 35m
14. Attack on Titan the Movie: The Last Attack,Animation,9.2,19000,2h 25m
15. Mars,Animation,6.8,34,1h 24m
16. Megamind vs. The Doom Syndicate,Animation,2.4,5900,1h 23m
17. Mononoke the Movie: The Phantom in the Rain,Animation,6.7,1600,1h 29m
18. Watchmen: Chapter I,Animation,7.1,7400,1h 23m
19. The Garfield Movie,Animation,5.7,26000,1h 41m
20. Wallace & Gromit: Vengeance Most Fowl,Animation,7.5,38000,1h 22m
21. The Day the Earth Blew Up: A Looney Tunes Movie,Animation,6.8,7200,1h 31m
22. Solo Leveling: ReAwakening,Animation,8.8,15000,2h 1m
23. Boys Go to Jupiter,Animation,6.9,175,1h 30m
24. Harold and the Purple Crayon,Animation,5.7,9200,1h 30m
25. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Animation,7.2,9300,1h 44m
26. The Remarkable Life of Ibelin,Animation,8.2,13000,1h 43m
27. Look Back,Animation,7.8,17000,58m
28. I Am What I Am 2,Animation,7.6,501,2h 14m
29. Spellbound,Animation,5.5,8200,1h 49m
30. Orion and the Dark,Animation,6.3,18000,1h 33m
31. Watchmen: Chapter II,Animation,7.1,3800,1h 30m
32. The Glassworker,Animation,7.1,2100,1h 38m
33. Haikyu!! The Dumpster Battle,Animation,7.7,6900,1h 25m
34. Justice League: Crisis on Infinite Earths - Part One,Animation,6.2,9200,1h 33m
35. Dan Da Dan: First Encounter,Animation,8.2,3300,1h 23m
36. Doraemon the Movie: Nobita's Earth Symphony,Animation,6.6,1700,1h 55m
37. The Colors Within,Animation,7.0,1300,1h 41m
38. That Christmas,Animation,6.8,17000,1h 31m
39. Uma Musume: Pretty Derby - Beginning of a New Era,Animation,7.4,256,1h 48m
40. Dragonkeeper,Animation,5.7,1900,1h 38m
41. Ultraman: Rising,Animation,6.9,6900,1h 57m
42. Crayon Shin-chan: Our Dinosaur Diary,Animation,6.6,670,1h 46m
43. White Snake: Afloat,Animation,6.9,633,2h 13m
44. Piece by Piece,Animation,6.9,6700,1h 33m
45. The Most Precious of Cargoes,Animation,7.1,1700,1h 21m
46. Justice League: Crisis on Infinite Earths - Part Three,Animation,6.1,5100,1h 34m
47. Buffalo Kids,Animation,6.6,838,1h 33m
48. Overlord: The Sacred Kingdom,Animation,6.9,1600,2h 15m
49. Blue Lock: Episode Nagi,Animation,6.6,2800,1h 31m
50. Grand Theft Hamlet,Animation,6.9,2300,1h 29m
51. Hitpig,Animation,5.2,1100,1h 26m
52. My Hero Academia: You're Next,Animation,6.9,2800,1h 50m
53. Night of the Zoopocalypse,Animation,6.0,1100,1h 31m
54. Noah's Ark,Animation,4.2,718,1h 36m
55. Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',Animation,8.8,1400,1h 30m
56. Saving Bikini Bottom: The Sandy Cheeks Movie,Animation,3.7,4200,1h 22m
57. Justice League: Crisis on Infinite Earths - Part Two,Animation,5.6,5900,1h 34m
58. Detective Conan: The Million-Dollar Pentagram,Animation,6.7,1700,1h 51m
59. Big City Greens the Movie: Spacecation,Animation,6.2,623,1h 23m
60. Gracie and Pedro: Pets to the Rescue,Animation,5.0,301,1h 27m
61. 10 Lives,Animation,5.9,2200,1h 28m
62. My Freaky Family,Animation,6.1,439,1h 26m
63. Super-Charlie,Animation,5.7,231,1h 22m
64. Le parfum d'Irak,Animation,7.9,54,1h 35m
65. Frida,Animation,7.4,1600,1h 27m
66. Diplodocus,Animation,6.2,218,1h 33m
67. My Oni Girl,Animation,6.0,2000,1h 52m
68. Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,Animation,7.0,59,1h 30m
69. Sanatorium Under the Sign of the Hourglass,Animation,5.4,143,1h 15m
70. Storm Crashers,Animation,6.1,608,1h 28m
71. Out of the Nest,Animation,6.5,144,1h 24m
72. Thelma the Unicorn,Animation,5.7,3100,1h 33m
73. (S)KiDS,Animation,8.2,164,1h 25m
74. Trapezium,Animation,6.2,182,1h 35m
75. Lesbian Space Princess,Animation,7.1,249,1h 27m
76. Johnny Puff: Secret Mission,Animation,4.8,490,1h 27m
77. The Tiger's Apprentice,Animation,5.8,2300,1h 24m
78. The Night Before Christmas in Wonderland,Animation,6.3,531,1h 20m
79. Ryan's World the Movie: Titan Universe Adventure,Animation,1.8,762,1h 20m
80. Woody Woodpecker Goes to Camp,Animation,4.5,2700,1h 40m
81. 200% Wolf,Animation,5.9,1400,1h 38m
82. Hola Frida,Animation,6.8,74,1h 22m
83. Savages,Animation,6.8,506,1h 27m
84. A Sloth Story,Animation,5.6,290,1h 30m
85. Baki Hanma VS Kengan Ashura,Animation,5.7,2100,1h 2m
86. Given 3: To the Sea,Animation,7.6,208,1h 20m
87. Si Juki the Movie: Harta Pulau Monyet,Animation,6.1,145,1h 47m
88. No Time to Spy: A Loud House Movie,Animation,6.4,527,1h 21m
89. Exorcism Chronicles: The Beginning,Animation,6.4,148,1h 25m
90. Panda Bear in Africa,Animation,5.5,396,1h 24m
91. Rebellious,Animation,6.1,252,1h 34m
92. Dalia and the Red Book,Animation,5.9,179,1h 47m
