Movie Name,Genre,Rating,Voting Counts,Duration
1. William Tell,Biography,5.7,4700,2h 14m
2. A Complete Unknown,Biography,7.3,100000,2h 21m
3. Saturday Night,Biography,6.9,35000,1h 49m
4. I'm Still Here,Biography,8.2,118000,2h 17m
5. Better Man,Biography,7.5,38000,2h 15m
6. The Apprentice,Biography,7.1,63000,2h 2m
7. Maria,Biography,6.4,22000,2h 4m
8. Bob Marley: One Love,Biography,6.2,36000,1h 47m
9. Queer,Biography,6.4,25000,2h 17m
10. Nr. 24,Biography,7.5,17000,1h 51m
11. Queen of the Ring,Biography,6.3,2400,2h 9m
12. Joy,Biography,7.1,10000,1h 55m
13. Scoop,Biography,6.5,21000,1h 42m
14. Young Woman and the Sea,Biography,7.5,18000,2h 9m
15. Ordinary Angels,Biography,7.4,17000,1h 58m
16. Back to Black,Biography,6.3,28000,2h 2m
17. Amaran,Biography,8.1,21000,2h 47m
18. Audrey's Children,Biography,7.1,466,1h 50m
19. The Remarkable Life of Ibelin,Biography,8.2,13000,1h 43m
20. Unfrosted,Biography,5.5,36000,1h 37m
21. Reagan,Biography,6.1,12000,2h 21m
22. The Fire Inside,Biography,6.7,3200,1h 49m
23. Cabrini,Biography,7.3,9300,2h 22m
24. El 47,Biography,7.2,4100,1h 50m
25. Bonhoeffer: Pastor. Spy. Assassin.,Biography,6.2,4100,2h 13m
26. Super/Man: The Christopher Reeve Story,Biography,8.0,11000,1h 44m
27. Pavements,Biography,7.1,733,2h 8m
28. Winner,Biography,6.5,2900,1h 43m
29. Music by John Williams,Biography,8.2,5300,1h 45m
30. Chandu Champion,Biography,7.8,35000,2h 22m
31. Race for Glory: Audi vs. Lancia,Biography,5.8,5300,1h 49m
32. Midas Man,Biography,6.4,1800,1h 52m
33. Piece by Piece,Biography,6.9,6700,1h 33m
34. Harbin,Biography,6.2,1200,1h 48m
35. Rob Peace,Biography,6.6,2400,2h
36. Jim Henson: Idea Man,Biography,7.7,4000,1h 51m
37. One to One: John & Yoko,Biography,7.3,793,1h 41m
38. Being Maria,Biography,6.1,930,1h 40m
39. Luther: Never Too Much,Biography,8.1,953,1h 41m
40. Maidaan,Biography,7.9,23000,3h 1m
41. Quisling: The Final Days,Biography,7.1,1400,2h 26m
42. Saint-Exupéry,Biography,5.4,681,1h 38m
43. Faith of Angels,Biography,6.2,318,1h 38m
44. Maharaj,Biography,6.5,15000,2h 11m
45. The Beach Boys,Biography,7.1,2300,1h 53m
46. Elton John: Never Too Late,Biography,6.5,2100,1h 42m
47. I Am: Celine Dion,Biography,7.7,8100,1h 43m
48. The Great Lillian Hall,Biography,7.3,2200,1h 50m
49. Monsieur Aznavour,Biography,7.3,3200,2h 13m
50. Little Bites,Biography,4.7,1400,1h 45m
51. McVeigh,Biography,4.5,620,1h 30m
52. Avicii - I'm Tim,Biography,7.7,7700,1h 35m
53. Bir Cumhuriyet Sarkisi,Biography,7.4,1500,2h 8m
54. I'm Your Venus,Biography,7.1,550,1h 25m
55. Goebbels and the Führer,Biography,6.7,2800,2h 15m
"56. From Hilde, with Love",Biography,6.9,1300,2h 5m
57. The Bibi Files,Biography,7.6,1500,1h 55m
