Movie Name,Genre,Rating,Voting Counts,Duration
1. Freaky Tales,Crime,6.3,11000,1h 47m
2. Longlegs,Crime,6.6,201000,1h 41m
3. Carry-On,Crime,6.5,178000,1h 59m
4. The Order,Crime,6.8,53000,1h 56m
5. Juror #2,Crime,7.0,112000,1h 54m
6. Rebel Ridge,Crime,6.8,94000,2h 11m
7. The Beekeeper,Crime,6.3,167000,1h 45m
8. Trap,Crime,5.8,149000,1h 45m
9. Wolfs,Crime,6.5,92000,1h 48m
10. Monkey Man,Crime,6.8,95000,2h 1m
11. Abigail,Crime,6.5,103000,1h 49m
12. MaXXXine,Crime,6.2,77000,1h 43m
13. Riff Raff,Crime,5.7,6200,1h 43m
14. The Unholy Trinity,Crime,5.5,3100,1h 35m
15. Barron's Cove,Crime,6.0,686,1h 56m
16. Bad Boys: Ride or Die,Crime,6.5,105000,1h 55m
17. The Girl with the Needle,Crime,7.5,16000,2h 3m
18. Sleeping Dogs,Crime,6.2,23000,1h 50m
19. Maharaja,Crime,8.4,73000,2h 21m
20. Despicable Me 4,Crime,6.2,71000,1h 34m
21. Love Lies Bleeding,Crime,6.6,60000,1h 44m
22. King Ivory,Crime,6.2,418,2h 10m
23. The Crow,Crime,4.7,38000,1h 51m
24. Emilia Pérez,Crime,5.4,93000,2h 12m
25. Beverly Hills Cop: Axel F,Crime,6.4,84000,1h 58m
26. Old Guy,Crime,5.2,4000,1h 34m
27. Vettaiyan,Crime,6.9,40000,2h 43m
28. The Instigators,Crime,6.2,40000,1h 41m
29. The Thicket,Crime,5.8,4500,1h 48m
30. The Seed of the Sacred Fig,Crime,7.6,17000,2h 47m
31. Lucky Baskhar,Crime,8.0,36000,2h 28m
32. Force of Nature: The Dry 2,Crime,5.9,8000,2h
33. Long Gone Heroes,Crime,5.1,1500,1h 41m
34. Dead Wrong,Crime,3.7,311,1h 44m
35. Megamind vs. The Doom Syndicate,Crime,2.4,5900,1h 23m
36. Pushpa: The Rule - Part 2,Crime,6.1,61000,3h 21m
37. Greedy People,Crime,6.2,13000,1h 52m
38. Boneyard,Crime,4.1,5400,1h 36m
39. Brothers,Crime,5.4,14000,1h 29m
40. Viduthalai Part 2,Crime,7.7,17000,2h 50m
41. The Kingdom,Crime,7.0,1400,1h 52m
42. Beating Hearts,Crime,7.0,6600,2h 46m
43. Inside,Crime,6.3,720,1h 44m
44. Auron Mein Kahan Dum Tha,Crime,6.3,41000,2h 30m
45. Absolution,Crime,5.2,9600,1h 52m
46. Lift,Crime,5.5,51000,1h 47m
47. The Shadow Strays,Crime,6.5,10000,2h 24m
48. Killer Heat,Crime,5.6,14000,1h 35m
49. The Trainer,Crime,7.0,73,1h 35m
50. Ghost Killer,Crime,6.3,493,1h 45m
51. Armor,Crime,3.6,4900,1h 29m
52. The Silent Hour,Crime,6.1,8800,1h 39m
53. Misericordia,Crime,6.8,3200,1h 44m
54. Marco,Crime,6.7,24000,2h 25m
55. Dead Mail,Crime,6.0,2500,1h 46m
56. Trigger Warning,Crime,4.6,20000,1h 46m
57. Lost on a Mountain in Maine,Crime,6.1,2200,1h 38m
58. Twilight of the Warriors: Walled In,Crime,6.9,11000,2h 6m
59. Sons,Crime,6.4,2500,1h 40m
