Movie Name,Genre,Rating,Voting Counts,Duration
1. No Other Land,Documentary,8.3,15000,1h 32m
2. My Undesirable Friends: Part I - Last Air in Moscow,Documentary,8.1,22,5h 24m
3. The Lost Children,Documentary,7.0,3100,1h 36m
4. Songs from the Hole,Documentary,6.2,100,1h 37m
5. The Remarkable Life of Ibelin,Documentary,8.2,13000,1h 43m
6. Will & Harper,Documentary,7.4,13000,1h 54m
7. Apocalypse in the Tropics,Documentary,7.6,1700,1h 50m
8. Behind the Lines,Documentary,8.9,34,1h 47m
9. Devo,Documentary,7.7,413,1h 34m
10. Broken Eyes,Documentary,9.5,9,1h 18m
11. Super/Man: The Christopher Reeve Story,Documentary,8.0,11000,1h 44m
12. The War on Truth,Documentary,7.8,6,N/A
13. The Menendez Brothers,Documentary,7.0,10000,1h 59m
14. Lover Stalker Killer,Documentary,7.0,14000,1h 30m
15. Soundtrack to a Coup d'Etat,Documentary,7.8,3400,2h 30m
16. 2073,Documentary,5.1,3400,1h 25m
17. Checkpoint Zoo,Documentary,7.9,80,1h 43m
18. Yacht Rock: A Dockumentary,Documentary,7.6,2100,1h 35m
19. Andrea Bocelli: Because I Believe,Documentary,7.8,26,1h 47m
20. Pavements,Documentary,7.1,733,2h 8m
21. Music by John Williams,Documentary,8.2,5300,1h 45m
22. Black Box Diaries,Documentary,7.5,3900,1h 42m
23. Architecton,Documentary,6.4,548,1h 38m
24. The Greatest Night in Pop,Documentary,7.9,15000,1h 36m
25. The Bloody Hundredth,Documentary,7.5,2800,1h 2m
26. Endurance,Documentary,7.5,1900,1h 43m
27. The Program,Documentary,7.1,939,1h 42m
28. Cheech & Chong's Last Movie,Documentary,7.3,585,2h
29. Sugarcane,Documentary,7.0,3600,1h 47m
30. Harley Flanagan: Wired for Chaos,Documentary,7.0,40,1h 39m
31. What Jennifer Did,Documentary,6.1,12000,1h 27m
32. Daughters,Documentary,7.6,1800,1h 48m
33. Where Olive Trees Weep,Documentary,8.6,454,1h 43m
34. Wisdom of Happiness,Documentary,7.1,182,1h 30m
35. An Open Door: Temple Grandin,Documentary,8.1,15,1h
36. Brats,Documentary,6.5,7100,1h 32m
37. Jim Henson: Idea Man,Documentary,7.7,4000,1h 51m
38. Buy Now! The Shopping Conspiracy,Documentary,6.7,7100,1h 24m
39. Billy & Molly: An Otter Love Story,Documentary,8.0,2100,1h 17m
40. One to One: John & Yoko,Documentary,7.3,793,1h 41m
41. Luther: Never Too Much,Documentary,8.1,953,1h 41m
42. Secret Mall Apartment,Documentary,7.3,597,1h 31m
