Movie Name,Genre,Rating,Voting Counts,Duration
1. Mahavatar Narsimha,Drama,9.2,32000,2h 10m
2. The Life of Chuck,Drama,7.4,23000,1h 51m
3. Freaky Tales,Drama,6.3,11000,1h 47m
4. The Substance,Drama,7.2,333000,2h 21m
5. Babygirl,Drama,5.8,69000,1h 54m
6. Anora,Drama,7.4,220000,2h 19m
7. Gladiator II,Drama,6.5,270000,2h 28m
8. William Tell,Drama,5.7,4700,2h 14m
9. Dune: Part Two,Drama,8.5,659000,2h 46m
10. The Brutalist,Drama,7.3,100000,3h 36m
11. Kingdom of the Planet of the Apes,Drama,6.8,159000,2h 25m
12. A Complete Unknown,Drama,7.3,100000,2h 21m
13. Conclave,Drama,7.4,216000,2h
14. Witchboard,Drama,5.6,417,1h 52m
15. The Order,Drama,6.8,53000,1h 56m
16. The Penguin Lessons,Drama,7.1,6800,1h 51m
17. Juror #2,Drama,7.0,112000,1h 54m
18. Saturday Night,Drama,6.9,35000,1h 49m
19. Speak No Evil,Drama,6.8,117000,1h 50m
20. Rebel Ridge,Drama,6.8,94000,2h 11m
21. The Fall Guy,Drama,6.8,233000,2h 6m
22. We Live in Time,Drama,7.0,61000,1h 48m
23. The Assessment,Drama,6.6,16000,1h 54m
24. The Count of Monte-Cristo,Drama,7.6,40000,2h 58m
25. The Last Showgirl,Drama,6.5,17000,1h 28m
26. I'm Still Here,Drama,8.2,118000,2h 17m
27. A Real Pain,Drama,7.1,111000,1h 30m
28. Presence,Drama,6.1,34000,1h 24m
29. The Idea of You,Drama,6.3,77000,1h 55m
30. September 5,Drama,7.1,29000,1h 35m
31. Small Things Like These,Drama,6.7,29000,1h 38m
32. Went Up the Hill,Drama,6.3,202,1h 40m
33. Challengers,Drama,7.0,163000,2h 11m
34. Road House,Drama,6.2,173000,2h 1m
35. 40 Acres,Drama,6.5,3300,1h 53m
36. Winter Spring Summer or Fall,Drama,6.0,3700,1h 37m
37. It Ends with Us,Drama,6.3,91000,2h 10m
38. Long Distance,Drama,5.7,5300,1h 26m
