Movie Name,Genre,Rating,Voting Counts,Duration
1. Sketch,Family,7.2,1700,1h 33m
2. The Wild Robot,Family,8.2,193000,1h 42m
3. Flow,Family,7.9,92000,1h 25m
4. Sonic the Hedgehog 3,Family,6.9,70000,1h 50m
5. Moana 2,Family,6.5,115000,1h 40m
6. Mufasa: The Lion King,Family,6.6,75000,1h 58m
7. Transformers One,Family,7.6,57000,1h 44m
8. Inside Out 2,Family,7.5,229000,1h 36m
9. Paddington in Peru,Family,6.6,28000,1h 46m
10. IF,Family,6.4,61000,1h 44m
11. Despicable Me 4,Family,6.2,71000,1h 34m
12. Young Hearts,Family,7.9,6500,1h 39m
13. Kung Fu Panda 4,Family,6.3,73000,1h 34m
14. Megamind vs. The Doom Syndicate,Family,2.4,5900,1h 23m
15. How to Make Millions Before Grandma Dies,Family,7.9,18000,2h 5m
16. My Penguin Friend,Family,6.8,6100,1h 37m
17. The Garfield Movie,Family,5.7,26000,1h 41m
18. Wallace & Gromit: Vengeance Most Fowl,Family,7.5,38000,1h 22m
19. The Day the Earth Blew Up: A Looney Tunes Movie,Family,6.8,7200,1h 31m
20. Descendants: The Rise of Red,Family,4.7,7600,1h 35m
21. Harold and the Purple Crayon,Family,5.7,9200,1h 30m
22. Girl Haunts Boy,Family,6.3,3500,1h 40m
23. Spellbound,Family,5.5,8200,1h 49m
24. Orion and the Dark,Family,6.3,18000,1h 33m
25. Meiyazhagan,Family,8.4,18000,2h 57m
26. The Forge,Family,6.7,5400,2h 4m
27. A Brother and 7 Siblings,Family,8.2,1900,2h 9m
28. Unsung Hero,Family,7.0,5300,1h 53m
29. Doraemon the Movie: Nobita's Earth Symphony,Family,6.6,1700,1h 55m
30. That Christmas,Family,6.8,17000,1h 31m
31. Woodwalkers,Family,5.2,785,1h 43m
32. Ultraman: Rising,Family,6.9,6900,1h 57m
33. Crayon Shin-chan: Our Dinosaur Diary,Family,6.6,670,1h 46m
34. Piece by Piece,Family,6.9,6700,1h 33m
35. Bibi Rajni,Family,8.5,753,2h 23m
36. Big World,Family,7.3,1600,2h 11m
37. Autumn and the Black Jaguar,Family,5.7,1100,1h 40m
38. Buffalo Kids,Family,6.6,838,1h 33m
39. Faith of Angels,Family,6.2,318,1h 38m
40. Bambi: A Tale of Life in the Woods,Family,5.6,310,1h 18m
41. Hitpig,Family,5.2,1100,1h 26m
42. Robin and the Hoods,Family,4.3,556,1h 40m
43. A Sudden Case of Christmas,Family,5.1,1200,1h 31m
44. Night of the Zoopocalypse,Family,6.0,1100,1h 31m
45. Noah's Ark,Family,4.2,718,1h 36m
46. Believe in Christmas,Family,6.1,886,1h 30m
47. Man and Witch: The Dance of a Thousand Steps,Family,5.6,370,1h 34m
48. Guest from the Future,Family,6.0,1300,2h 21m
49. Saving Bikini Bottom: The Sandy Cheeks Movie,Family,3.7,4200,1h 22m
50. Sunny,Family,7.6,40,2h 2m
51. Big City Greens the Movie: Spacecation,Family,6.2,624,1h 23m
52. Panda Plan,Family,5.1,1700,1h 39m
53. Gracie and Pedro: Pets to the Rescue,Family,5.0,301,1h 27m
54. 10 Lives,Family,5.9,2200,1h 28m
55. Paper Flowers,Family,8.6,39,1h 40m
56. My Freaky Family,Family,6.1,439,1h 26m
57. Super-Charlie,Family,5.7,231,1h 22m
58. Cup,Family,8.6,87,2h 26m
59. You Gotta Believe,Family,5.8,1500,1h 44m
60. The Groomsmen: First Look,Family,6.1,431,1h 22m
61. Palayam PC,Family,6.5,1700,1h 58m
62. Diplodocus,Family,6.2,218,1h 33m
63. My Oni Girl,Family,6.0,2000,1h 52m
64. Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,Family,7.1,60,1h 30m
65. Storm Crashers,Family,6.1,608,1h 28m
66. Véletlenül írtam egy könyvet,Family,7.4,887,1h 38m
