Movie Name,Genre,Rating,Voting Counts,Duration
1. Mahavatar Narsimha,Fantasy,9.2,32000,2h 10m
2. The Life of Chuck,Fantasy,7.4,23000,1h 51m
3. Nosferatu,Fantasy,7.2,228000,2h 12m
4. Sketch,Fantasy,7.2,1700,1h 33m
5. Wicked,Fantasy,7.4,181000,2h 40m
6. Beetlejuice Beetlejuice,Fantasy,6.6,159000,1h 45m
7. Flow,Fantasy,7.9,92000,1h 25m
8. Sonic the Hedgehog 3,Fantasy,6.9,70000,1h 50m
9. Went Up the Hill,Fantasy,6.3,202,1h 40m
10. Better Man,Fantasy,7.5,38000,2h 15m
11. Megalopolis,Fantasy,4.7,38000,2h 18m
12. Moana 2,Fantasy,6.5,115000,1h 40m
13. Parthenope,Fantasy,6.6,16000,2h 17m
14. Godzilla x Kong: The New Empire,Fantasy,6.0,127000,1h 55m
15. Transformers One,Fantasy,7.6,57000,1h 44m
16. Inside Out 2,Fantasy,7.5,229000,1h 36m
17. The Watchers,Fantasy,5.7,60000,1h 42m
18. IF,Fantasy,6.4,61000,1h 44m
19. Red One,Fantasy,6.3,145000,2h 3m
20. Ghostbusters: Frozen Empire,Fantasy,6.1,98000,1h 55m
21. The Crow,Fantasy,4.7,38000,1h 51m
22. The Lord of the Rings: The War of the Rohirrim,Fantasy,6.3,35000,2h 14m
23. Monster Summer,Fantasy,5.7,5300,1h 37m
24. Damsel,Fantasy,6.1,113000,1h 50m
25. Kung Fu Panda 4,Fantasy,6.3,73000,1h 34m
26. The Master and Margarita,Fantasy,7.1,5500,2h 36m
27. Nightbitch,Fantasy,5.5,22000,1h 39m
28. Kalki 2898 AD,Fantasy,7.0,70000,3h
29. Mars,Fantasy,6.8,34,1h 24m
30. The Wonderful Story of Henry Sugar and Three More,Fantasy,7.1,9400,1h 28m
31. Uglies,Fantasy,4.7,35000,1h 40m
32. Mononoke the Movie: The Phantom in the Rain,Fantasy,6.7,1600,1h 29m
33. The Garfield Movie,Fantasy,5.7,26000,1h 41m
34. Solo Leveling: ReAwakening,Fantasy,8.8,15000,2h 1m
35. Descendants: The Rise of Red,Fantasy,4.7,7600,1h 35m
36. Harold and the Purple Crayon,Fantasy,5.7,9200,1h 30m
37. Rebel Moon - Part Two: The Scargiver,Fantasy,5.3,61000,2h 2m
38. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Fantasy,7.2,9300,1h 44m
39. The End,Fantasy,5.4,2600,2h 28m
40. The Balconettes,Fantasy,5.8,1700,1h 44m
41. Irish Wish,Fantasy,5.2,22000,1h 33m
42. Girl Haunts Boy,Fantasy,6.3,3500,1h 40m
43. Spellbound,Fantasy,5.5,8200,1h 49m
44. Orion and the Dark,Fantasy,6.3,18000,1h 33m
45. The Tearsmith,Fantasy,5.2,13000,1h 43m
46. The Traveller,Fantasy,5.2,244,2h 14m
47. Justice League: Crisis on Infinite Earths - Part One,Fantasy,6.2,9200,1h 33m
48. Dear Santa,Fantasy,5.4,19000,1h 47m
49. Dan Da Dan: First Encounter,Fantasy,8.2,3300,1h 23m
50. Doraemon the Movie: Nobita's Earth Symphony,Fantasy,6.6,1700,1h 55m
51. Cells at Work!,Fantasy,6.7,1200,1h 49m
52. That Christmas,Fantasy,6.8,17000,1h 31m
53. Chantal in Fairyland,Fantasy,4.6,2800,1h 58m
54. Happyend,Fantasy,6.9,993,1h 53m
55. Family Pack,Fantasy,5.5,10000,1h 34m
56. Woodwalkers,Fantasy,5.2,785,1h 43m
57. Dragonkeeper,Fantasy,5.7,1900,1h 38m
58. The American Society of Magical Negroes,Fantasy,3.8,12000,1h 44m
59. Ultraman: Rising,Fantasy,6.9,6900,1h 57m
60. White Snake: Afloat,Fantasy,6.9,633,2h 13m
61. Bhool Bhulaiyaa 3,Fantasy,4.6,78000,2h 38m
62. Justice League: Crisis on Infinite Earths - Part Three,Fantasy,6.1,5100,1h 34m
63. Pedro Páramo,Fantasy,6.3,3200,2h 10m
64. Else,Fantasy,5.4,586,1h 42m
65. Ba,Fantasy,5.7,145,1h 19m
66. A.R.M,Fantasy,7.1,9300,2h 30m
67. Buffalo Kids,Fantasy,6.6,838,1h 33m
68. Overlord: The Sacred Kingdom,Fantasy,6.9,1600,2h 15m
69. Hanu Man,Fantasy,7.7,30000,2h 38m
70. The Fisherman,Fantasy,7.5,66,1h 48m
71. The Witch: Revenge,Fantasy,5.3,908,1h 40m
72. Tim Travers & the Time Travelers Paradox,Fantasy,5.7,548,1h 35m
73. The Best Christmas Pageant Ever,Fantasy,6.8,6400,1h 39m
74. Robin and the Hoods,Fantasy,4.3,556,1h 40m
75. Night of the Zoopocalypse,Fantasy,6.0,1100,1h 31m
76. Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',Fantasy,8.8,1400,1h 30m
77. Pechi,Fantasy,5.5,1600,1h 50m
78. Man and Witch: The Dance of a Thousand Steps,Fantasy,5.6,370,1h 34m
79. Hot Frosty,Fantasy,5.3,15000,1h 32m
80. Saving Bikini Bottom: The Sandy Cheeks Movie,Fantasy,3.7,4200,1h 22m
81. The Invisibles,Fantasy,5.8,618,1h 51m
82. The Gesuidouz,Fantasy,6.7,100,1h 33m
83. Justice League: Crisis on Infinite Earths - Part Two,Fantasy,5.6,5900,1h 34m
84. Wynonna Earp: Vengeance,Fantasy,5.6,1700,1h 36m
85. Witch,Fantasy,4.9,1400,1h 47m
86. Big City Greens the Movie: Spacecation,Fantasy,6.2,624,1h 23m
87. Empire Queen: The Golden Age of Magic,Fantasy,3.3,310,2h 28m
88. Timestalker,Fantasy,5.5,3200,1h 29m
89. 10 Lives,Fantasy,5.9,2200,1h 28m
90. Alienoid: The Return to the Future,Fantasy,6.5,2900,2h 2m
91. Harry Potter and the Stone,Fantasy,7.7,194,2h 32m
92. Fluxx,Fantasy,5.6,138,1h 40m
93. Super-Charlie,Fantasy,5.7,231,1h 22m
94. Kuttante Shinigami,Fantasy,5.3,48,1h 52m
95. Diplodocus,Fantasy,6.2,218,1h 33m
96. Phallacies,Fantasy,8.7,8,1h 41m
97. Devil's Knight,Fantasy,5.3,1000,1h 30m
98. A Dog's Will 2,Fantasy,6.2,3300,1h 44m
99. This Is Me... Now,Fantasy,4.1,7200,1h 5m
100. My Oni Girl,Fantasy,6.0,2000,1h 52m
101. Malaikottai Vaaliban,Fantasy,6.0,4200,2h 36m
102. Angels Fallen: Warriors of Peace,Fantasy,4.8,6500,1h 43m
103. Wicked Season,Fantasy,4.8,53,N/A
104. Thelma the Unicorn,Fantasy,5.7,3100,1h 33m
105. Kanguva,Fantasy,4.5,15000,2h 32m
106. Cinderella's Revenge,Fantasy,3.8,1200,1h 25m
107. The Seductress from Hell,Fantasy,6.1,23,1h 42m
108. The Slave and the Sorcerer,Fantasy,6.5,49,1h 26m
109. River of Ghosts,Fantasy,2.9,311,1h 42m
110. Thangalaan,Fantasy,6.5,6900,2h 36m
111. The Thundermans Return,Fantasy,5.0,2000,1h 10m
112. Lesbian Space Princess,Fantasy,7.1,249,1h 27m
113. Cinderella's Curse,Fantasy,3.4,1400,1h 22m
