Movie Name,Genre,Rating,Voting Counts,Duration
1. William Tell,History,5.7,4700,2h 14m
2. Saturday Night,History,6.9,35000,1h 49m
3. I'm Still Here,History,8.2,118000,2h 17m
4. September 5,History,7.1,29000,1h 35m
5. Small Things Like These,History,6.7,29000,1h 38m
6. The Apprentice,History,7.1,63000,2h 2m
7. Harvest,History,6.0,972,2h 13m
8. The Girl with the Needle,History,7.5,16000,2h 3m
9. The Return,History,6.2,12000,1h 56m
10. Queer,History,6.4,25000,2h 17m
11. The Six Triple Eight,History,6.7,29000,2h 7m
12. Blitz,History,6.2,17000,2h
13. Joy,History,7.1,10000,1h 55m
14. The Devil's Bath,History,6.6,7100,2h 1m
15. Unfrosted,History,5.5,36000,1h 37m
16. Reagan,History,6.1,12000,2h 21m
17. Vermiglio,History,6.9,5500,1h 59m
18. The Children's Train,History,7.4,8500,1h 46m
19. Apocalypse in the Tropics,History,7.6,1700,1h 50m
20. Bonhoeffer: Pastor. Spy. Assassin.,History,6.2,4100,2h 13m
21. Uprising,History,6.6,6200,2h 6m
22. Intoxicated by Love,History,8.5,14000,1h 58m
23. Chandu Champion,History,7.8,35000,2h 22m
24. Bibi Rajni,History,8.5,753,2h 23m
25. Grand Tour,History,6.5,2300,2h 9m
26. Harbin,History,6.2,1200,1h 48m
27. 11 Rebels,History,6.2,883,2h 35m
28. Being Maria,History,6.1,930,1h 40m
29. Maidaan,History,7.9,23000,3h 1m
30. Quisling: The Final Days,History,7.1,1400,2h 26m
31. Saint-Exupéry,History,5.4,681,1h 38m
32. Maharaj,History,6.5,15000,2h 11m
33. No Chains No Masters,History,6.3,723,1h 38m
34. In the Fire of War,History,6.6,301,1h 55m
"35. Love, Courage and the Battle of Bushy Run",History,5.0,202,1h 53m
36. The Great Lillian Hall,History,7.3,2200,1h 50m
37. Bir Cumhuriyet Sarkisi,History,7.4,1500,2h 8m
38. Escape from Germany,History,5.4,1100,1h 37m
39. Goebbels and the Führer,History,6.7,2800,2h 15m
"40. From Hilde, with Love",History,6.9,1300,2h 5m
41. Waves,History,7.8,2200,2h 11m
42. Kingdom 4: Return of the Great General,History,7.2,1500,2h 25m
43. Before Dawn,History,5.4,1200,1h 41m
44. Gloria!,History,6.5,1100,1h 46m
45. Golden Kamuy,History,6.3,2700,2h 7m
46. Six Days in August,History,4.9,176,2h
47. The Flood,History,6.4,389,1h 41m
48. Witch,History,4.9,1400,1h 47m
49. Atomic People,History,8.3,183,1h 30m
50. In Her Place,History,6.3,7200,1h 36m
