Movie Name,Genre,Rating,Voting Counts,Duration
1. Alien: Romulus,Horror,7.1,262000,1h 59m
2. Nosferatu,Horror,7.2,228000,2h 12m
3. The Substance,Horror,7.2,333000,2h 21m
4. Heretic,Horror,7.0,182000,1h 51m
5. Longlegs,Horror,6.6,201000,1h 41m
6. Witchboard,Horror,5.6,417,1h 52m
7. Beetlejuice Beetlejuice,Horror,6.6,159000,1h 45m
8. Speak No Evil,Horror,6.8,117000,1h 50m
9. River of Blood,Horror,4.8,2400,1h 26m
10. Smile 2,Horror,6.7,121000,2h 7m
11. Trap,Horror,5.8,149000,1h 45m
12. Presence,Horror,6.1,34000,1h 24m
13. The A-Frame,Horror,5.8,101,1h 22m
14. Went Up the Hill,Horror,6.3,202,1h 40m
15. Oddity,Horror,6.7,49000,1h 38m
16. Abigail,Horror,6.5,103000,1h 49m
17. MaXXXine,Horror,6.2,77000,1h 43m
18. Terrifier 3,Horror,6.3,54000,2h 5m
19. Kinds of Kindness,Horror,6.5,63000,2h 44m
20. A Quiet Place: Day One,Horror,6.3,159000,1h 39m
21. Animale,Horror,5.8,392,1h 38m
22. Jimmy and Stiggs,Horror,6.1,249,1h 19m
23. The Watchers,Horror,5.7,60000,1h 42m
24. The Damned,Horror,5.7,6400,1h 29m
25. Strange Harvest,Horror,6.6,412,1h 34m
26. Immaculate,Horror,5.8,56000,1h 29m
27. Get Away,Horror,5.3,8900,1h 26m
28. Apartment 7A,Horror,5.9,18000,1h 47m
29. Salem's Lot,Horror,5.6,37000,1h 54m
30. Shelby Oaks,Horror,5.4,357,1h 39m
31. Don't Move,Horror,5.8,42000,1h 32m
32. The Crow,Horror,4.7,38000,1h 51m
33. Night Swim,Horror,4.7,29000,1h 38m
34. Y2K,Horror,4.8,17000,1h 31m
35. Cuckoo,Horror,5.7,30000,1h 42m
36. The Rule of Jenny Pen,Horror,6.2,7600,1h 44m
37. Monster Island,Horror,5.2,1300,1h 23m
38. The Deliverance,Horror,5.1,24000,1h 52m
39. Bone Lake,Horror,N/A,N/A,1h 34m
40. Hellboy: The Crooked Man,Horror,4.5,15000,1h 39m
41. Traumatika,Horror,5.9,75,1h 27m
42. The First Omen,Horror,6.5,67000,1h 59m
43. The Shrouds,Horror,5.8,5600,2h
44. The Master and Margarita,Horror,7.1,5500,2h 36m
45. Nightbitch,Horror,5.5,22000,1h 39m
46. Tarot,Horror,4.8,34000,1h 32m
47. Munjya,Horror,6.3,27000,2h 3m
48. The Strangers: Chapter 1,Horror,4.6,24000,1h 31m
49. Exhuma,Horror,6.9,25000,2h 14m
50. MadS,Horror,6.4,9600,1h 29m
51. Mononoke the Movie: The Phantom in the Rain,Horror,6.7,1600,1h 29m
52. Azrael,Horror,5.3,13000,1h 26m
53. Apocalypse Z: The Beginning of the End,Horror,6.1,22000,1h 57m
54. In a Violent Nature,Horror,5.6,28000,1h 34m
55. A Sacrifice,Horror,5.0,6000,1h 34m
56. Time Cut,Horror,5.0,21000,1h 31m
57. Cloud,Horror,6.4,2300,2h 4m
58. Never Let Go,Horror,5.4,17000,1h 41m
59. Arcadian,Horror,5.5,25000,1h 32m
60. Queen of Bones,Horror,4.6,386,1h 30m
61. Lisa Frankenstein,Horror,6.1,29000,1h 41m
62. The Platform 2,Horror,4.9,43000,1h 39m
63. Stree 2: Sarkate Ka Aatank,Horror,6.9,44000,2h 27m
64. Survive,Horror,4.6,3700,1h 30m
65. Rumours,Horror,4.9,5500,1h 44m
66. The Beast Within,Horror,4.3,5600,1h 37m
67. Noise,Horror,5.9,239,1h 33m
68. Bramayugam,Horror,7.8,15000,2h 19m
69. Cellar Door,Horror,5.2,5100,1h 37m
70. Ick,Horror,5.8,380,1h 33m
71. Dirty Boy,Horror,7.6,49,1h 38m
72. Push,Horror,4.7,727,1h 29m
73. Frewaka,Horror,6.1,2000,1h 43m
74. Werewolves,Horror,4.4,8000,1h 33m
75. The Devil's Bath,Horror,6.6,7100,2h 1m
76. The Balconettes,Horror,5.8,1700,1h 44m
77. Under Paris,Horror,5.2,38000,1h 44m
78. Bagman,Horror,4.7,6900,1h 33m
79. I Don't Understand You,Horror,5.3,1200,1h 37m
80. Ghost Killer,Horror,6.3,493,1h 45m
81. Succubus,Horror,4.6,1500,1h 43m
82. Lembayung,Horror,6.0,811,2h 3m
83. The Exorcism,Horror,4.2,12000,1h 35m
84. The House on Laura Anne Dr.,Horror,5.1,1300,1h 15m
85. Year 10,Horror,5.4,2100,1h 36m
86. Compulsion,Horror,6.2,44,N/A
87. Sting,Horror,5.7,18000,1h 31m
88. Dead Mail,Horror,6.0,2500,1h 46m
89. Afraid,Horror,5.2,15000,1h 24m
90. Die Alone,Horror,5.8,4200,1h 30m
91. Saint Clare,Horror,4.5,706,1h 32m
92. Please Don't Feed the Children,Horror,4.8,764,1h 34m
93. Humane,Horror,5.5,7900,1h 33m
94. Lowlifes,Horror,6.2,7000,1h 30m
95. The Ruse,Horror,7.2,563,1h 45m
96. The Soul Eater,Horror,5.8,3200,1h 48m
97. The Inheritance,Horror,4.7,3200,1h 25m
98. Imaginary,Horror,4.7,18000,1h 44m
99. Spin the Bottle,Horror,3.5,1100,2h 4m
100. Winnie-the-Pooh: Blood and Honey 2,Horror,4.6,12000,1h 33m
101. Things Will Be Different,Horror,5.2,3000,1h 42m
102. V/H/S/Beyond,Horror,5.8,10000,1h 54m
103. Black,Horror,7.1,3000,1h 55m
104. Grave Torture,Horror,6.2,3200,1h 57m
105. Daddy's Head,Horror,5.6,5800,1h 32m
106. Your Monster,Horror,6.4,6800,1h 43m
107. Hotspring Sharkattack,Horror,5.8,120,1h 10m
108. Outbreak,Horror,4.4,1500,1h 28m
109. House of Sayuri,Horror,6.3,447,1h 48m
110. Chime,Horror,6.4,2900,45m
111. We Bury the Dead,Horror,6.3,154,1h 34m
112. The Radleys,Horror,5.0,3200,1h 55m
113. Ghost Train,Horror,5.1,92,1h 34m
114. The Wailing,Horror,6.1,1900,1h 47m
115. Sumala,Horror,5.8,1300,1h 52m
116. The Last Breath,Horror,4.7,2700,1h 36m
117. Vina: Before 7 Days,Horror,5.3,672,1h 40m
118. Consumed,Horror,3.7,724,1h 29m
119. Dan Da Dan: First Encounter,Horror,8.2,3300,1h 23m
120. The North Witch,Horror,4.3,146,1h 20m
121. Dead Talents Society,Horror,7.0,2900,1h 51m
122. The Vampire Next Door,Horror,4.7,844,1h 50m
123. Hold Your Breath,Horror,5.3,9200,1h 34m
124. Scurry,Horror,7.7,31,1h 30m
125. Stream,Horror,5.9,9600,2h 3m
126. Something in the Water,Horror,4.1,5400,1h 26m
127. The Twin,Horror,7.3,116,1h 43m
128. Blood Star,Horror,6.3,6300,1h 37m
129. Shell,Horror,6.7,86,1h 40m
130. Grafted,Horror,5.6,2800,1h 36m
131. Devon,Horror,2.7,407,1h 12m
132. Bhool Bhulaiyaa 3,Horror,4.6,78000,2h 38m
133. Pins & Needles,Horror,5.8,73,1h 35m
134. Peripheral,Horror,7.7,59,1h 28m
135. The Corpse Washer,Horror,6.1,1400,1h 47m
136. Devils Stay,Horror,4.8,387,1h 35m
137. Blackwater Lane,Horror,4.6,2500,1h 48m
138. Beezel,Horror,4.9,1700,1h 21m
139. Milk & Serial,Horror,6.6,2800,1h 2m
140. Test Screening,Horror,6.8,72,1h 32m
141. Room Service,Horror,3.9,337,47m
142. Pedro Páramo,Horror,6.3,3200,2h 10m
143. Else,Horror,5.4,586,1h 42m
144. Ba,Horror,5.7,145,1h 19m
145. Handsome Guys,Horror,6.5,1300,1h 41m
