Movie Name,Genre,Rating,Voting Counts,Duration
1. A Complete Unknown,Music,7.3,100000,2h 21m
2. Better Man,Music,7.5,38000,2h 15m
3. Maria,Music,6.4,22000,2h 4m
4. Bob Marley: One Love,Music,6.2,36000,1h 47m
5. Kneecap,Music,7.6,21000,1h 45m
6. The Greatest Hits,Music,6.2,8000,1h 34m
7. Descendants: The Rise of Red,Music,4.7,7600,1h 35m
8. Back to Black,Music,6.3,28000,2h 2m
9. The Trainer,Music,7.0,73,1h 35m
10. Songs from the Hole,Music,6.2,100,1h 37m
11. The Piano Lesson,Music,6.2,5300,2h 7m
12. Find Me Falling,Music,6.3,13000,1h 33m
13. Devo,Music,7.7,413,1h 34m
14. Soundtrack to a Coup d'Etat,Music,7.8,3400,2h 30m
15. The Marching Band,Music,7.4,4800,1h 43m
16. Doraemon the Movie: Nobita's Earth Symphony,Music,6.6,1700,1h 55m
17. Yacht Rock: A Dockumentary,Music,7.6,2100,1h 35m
18. Nova & Alice,Music,5.9,446,1h 50m
19. The Colors Within,Music,7.0,1300,1h 41m
20. Pavements,Music,7.1,733,2h 8m
21. Music by John Williams,Music,8.2,5300,1h 45m
22. Midas Man,Music,6.4,1800,1h 52m
23. The Greatest Night in Pop,Music,7.9,15000,1h 36m
24. Luther: Never Too Much,Music,8.1,953,1h 41m
25. The Extraordinary Miss Flower,Music,7.1,58,1h 13m
26. The Beach Boys,Music,7.1,2300,1h 53m
27. Elton John: Never Too Late,Music,6.5,2100,1h 42m
28. I Am: Celine Dion,Music,7.7,8100,1h 43m
29. Monsieur Aznavour,Music,7.3,3200,2h 13m
30. Avicii - I'm Tim,Music,7.7,7700,1h 35m
31. Beatles '64,Music,7.2,2800,1h 46m
32. Música,Music,6.4,5200,1h 31m
33. Standing on the Shoulders of Kitties,Music,6.2,707,1h 51m
34. Off the Record,Music,8.1,410,1h 35m
35. The Gesuidouz,Music,6.7,100,1h 33m
36. Stelios,Music,7.3,1600,2h 12m
37. Gloria!,Music,6.5,1100,1h 46m
38. Return of the King: The Fall and Rise of Elvis Presley,Music,7.6,2100,1h 30m
39. Jung Kook: I Am Still,Music,8.1,7600,1h 30m
40. Stevie Van Zandt: Disciple,Music,7.9,713,2h 27m
41. Amar Singh Chamkila,Music,7.8,17000,2h 25m
42. The World According to Allee Willis,Music,7.9,111,1h 37m
43. Liza: A Truly Terrific Absolutely True Story,Music,7.5,568,1h 44m
44. American Dream: The 21 Savage Story,Music,7.6,17,N/A
