Movie Name,Genre,Rating,Voting Counts,Duration
1. Wicked,Musical,7.4,181000,2h 40m
2. Better Man,Musical,7.5,38000,2h 15m
3. Moana 2,Musical,6.5,115000,1h 40m
4. Joker: Folie à Deux,Musical,5.2,170000,2h 18m
5. Mufasa: The Lion King,Musical,6.6,75000,1h 58m
6. Mean Girls,Musical,5.5,39000,1h 52m
7. Spermageddon,Musical,5.4,1800,1h 20m
8. Emilia Pérez,Musical,5.4,93000,2h 12m
9. Descendants: The Rise of Red,Musical,4.7,7600,1h 35m
10. The End,Musical,5.4,2600,2h 28m
11. Sooryavansham,Musical,7.1,247,2h 17m
12. Spellbound,Musical,5.5,8200,1h 49m
13. The Merry Gentlemen,Musical,4.8,10000,1h 27m
14. The Best Friend,Musical,6.4,181,1h 36m
15. Piece by Piece,Musical,6.9,6700,1h 33m
16. Girl from the North Country,Musical,6.8,86,N/A
17. Noah's Ark,Musical,4.2,718,1h 36m
18. How Could I Live Without You?,Musical,6.9,1200,1h 45m
19. Indian 2,Musical,3.8,17000,N/A
20. Varshangalkku Shesham,Musical,6.6,4800,2h 46m
21. Victory,Musical,6.5,379,2h
22. This Is Me... Now,Musical,4.1,7200,1h 5m
23. Thelma the Unicorn,Musical,5.7,3100,1h 33m
24. (S)KiDS,Musical,8.2,164,1h 25m
25. Trapezium,Musical,6.2,182,1h 35m
26. The Night Before Christmas in Wonderland,Musical,6.3,531,1h 20m
27. The Deb,Musical,7.4,74,2h 1m
28. Everybody Loves Touda,Musical,6.4,545,1h 42m
29. School of Magical Animals 3,Musical,5.7,385,1h 45m
30. Queens of Drama,Musical,6.3,247,1h 54m
"31. Kiss Me, Kate: The Musical",Musical,7.2,106,2h 41m
32. Magic,Musical,7.3,7,1h 30m
33. The Opera! Arie per un'eclissi,Musical,6.3,154,1h 46m
34. Maria Callas,Musical,N/A,N/A,1h
35. Dongeng Sang Kancil,Musical,6.6,234,1h 39m
36. Bring on the Damned!,Musical,4.9,59,1h 54m
37. Chainsaws Were Singing,Musical,7.2,393,1h 57m
