Movie Name,Genre,Rating,Voting Counts,Duration
1. Nosferatu,Mystery,7.2,228000,2h 12m
2. Longlegs,Mystery,6.6,201000,1h 41m
3. Witchboard,Mystery,5.6,417,1h 52m
4. Juror #2,Mystery,7.0,112000,1h 54m
5. Blink Twice,Mystery,6.5,116000,1h 42m
6. Smile 2,Mystery,6.7,121000,2h 7m
7. Trap,Mystery,5.8,149000,1h 45m
8. It's What's Inside,Mystery,6.6,46000,1h 43m
9. Caddo Lake,Mystery,6.8,48000,1h 43m
10. The Watchers,Mystery,5.7,60000,1h 42m
11. The Damned,Mystery,5.7,6400,1h 29m
12. Paddington in Peru,Mystery,6.6,28000,1h 46m
13. Red One,Mystery,6.3,145000,2h 3m
14. Sleeping Dogs,Mystery,6.2,23000,1h 50m
15. Love Lies Bleeding,Mystery,6.6,60000,1h 44m
16. Night Swim,Mystery,4.7,29000,1h 38m
17. I Saw the TV Glow,Mystery,5.8,40000,1h 40m
18. Monster Summer,Mystery,5.7,5300,1h 37m
19. Cuckoo,Mystery,5.7,30000,1h 42m
20. The Rule of Jenny Pen,Mystery,6.2,7600,1h 44m
21. The Deliverance,Mystery,5.1,24000,1h 52m
22. Hellboy: The Crooked Man,Mystery,4.5,15000,1h 39m
23. The Instigators,Mystery,6.2,40000,1h 41m
24. Force of Nature: The Dry 2,Mystery,5.9,8000,2h
25. Long Gone Heroes,Mystery,5.1,1500,1h 41m
26. Exhuma,Mystery,6.9,25000,2h 14m
27. Mononoke the Movie: The Phantom in the Rain,Mystery,6.7,1600,1h 29m
28. Boneyard,Mystery,4.1,5400,1h 36m
29. A Sacrifice,Mystery,5.0,6000,1h 34m
30. Time Cut,Mystery,5.0,21000,1h 31m
31. Watchmen: Chapter I,Mystery,7.1,7400,1h 23m
32. F*** Marry Kill,Mystery,5.3,4100,1h 37m
33. Turtles All the Way Down,Mystery,6.6,7900,1h 51m
34. Absolution,Mystery,5.2,9600,1h 52m
35. Dirty Boy,Mystery,7.6,49,1h 38m
36. Killer Heat,Mystery,5.6,14000,1h 35m
37. Kishkindha Kaandam,Mystery,8.0,13000,2h 13m
38. Hunting Daze,Mystery,5.5,603,1h 19m
39. Mr. K,Mystery,5.4,1300,1h 34m
40. Slingshot,Mystery,5.7,11000,1h 48m
41. Orion and the Dark,Mystery,6.3,18000,1h 33m
42. Watchmen: Chapter II,Mystery,7.1,3800,1h 30m
43. Afraid,Mystery,5.2,15000,1h 24m
44. Die Alone,Mystery,5.8,4200,1h 30m
45. Saint Clare,Mystery,4.5,706,1h 32m
46. The Ruse,Mystery,7.2,563,1h 45m
47. The Soul Eater,Mystery,5.8,3200,1h 48m
48. Brief History of a Family,Mystery,6.8,559,1h 40m
49. Hidden Face,Mystery,6.1,724,1h 55m
50. Imaginary,Mystery,4.7,18000,1h 44m
51. Black,Mystery,7.1,3000,1h 55m
52. Sookshma Darshini,Mystery,7.8,12000,2h 22m
53. To Kill a Wolf,Mystery,8.9,77,1h 32m
54. Outbreak,Mystery,4.4,1500,1h 28m
55. Ghost Train,Mystery,5.1,92,1h 34m
56. Damaged,Mystery,4.7,7900,1h 37m
57. Vina: Before 7 Days,Mystery,5.3,672,1h 40m
58. Dan Da Dan: First Encounter,Mystery,8.2,3300,1h 23m
59. The North Witch,Mystery,4.3,146,1h 20m
60. Revolver,Mystery,5.5,1000,1h 54m
61. Karma,Mystery,7.9,1500,2h 47m
62. Classified,Mystery,3.7,3000,1h 45m
63. Skincare,Mystery,5.7,5200,1h 36m
64. Do Patti,Mystery,6.3,70000,2h 6m
65. Blackwater Lane,Mystery,4.6,2500,1h 48m
66. Badland Hunters,Mystery,5.9,13000,1h 47m
67. Detained,Mystery,4.9,2000,1h 37m
68. Pedro Páramo,Mystery,6.3,3200,2h 10m
69. Colors of Evil: Red,Mystery,6.4,8900,1h 51m
70. Bougainvillea,Mystery,6.4,3500,2h 18m
71. The Girl in the Pool,Mystery,4.3,1700,1h 29m
72. Depravity,Mystery,4.3,1300,1h 57m
73. Cult Killer,Mystery,4.8,3000,1h 45m
74. The Ugly,Mystery,N/A,N/A,1h 42m
75. Reunion,Mystery,5.6,3800,1h 30m
76. Thalavan,Mystery,7.2,5700,2h 11m
77. Handling the Undead,Mystery,5.3,4700,1h 37m
78. Anweshippin Kandethum,Mystery,7.4,11000,2h 22m
79. Kryptic,Mystery,4.0,683,1h 42m
80. Strictly Confidential,Mystery,2.8,892,1h 34m
81. The Dead Thing,Mystery,4.7,1100,1h 34m
82. Drugstore June,Mystery,5.4,1900,1h 31m
83. Golam,Mystery,7.2,6400,2h
84. Phir Aayi Hasseen Dillruba,Mystery,5.8,7100,2h 12m
85. The Image of You,Mystery,4.6,942,1h 30m
86. Drive Back,Mystery,4.5,771,1h 34m
87. She's Got No Name,Mystery,5.5,305,1h 34m
88. Following,Mystery,6.5,1500,1h 42m
89. Believer,Mystery,4.6,481,1h 48m
90. The Great Lillian Hall,Mystery,7.3,2200,1h 50m
91. A Place Called Silence,Mystery,6.5,1400,1h 59m
92. The Best Christmas Pageant Ever,Mystery,6.8,6400,1h 39m
93. Missing Child Videotape,Mystery,5.5,275,1h 44m
94. Heresy,Mystery,6.8,339,1h 1m
