Movie Name,Genre,Rating,Voting Counts,Duration
1. No Other Land,News,8.3,15000,1h 32m
2. Zurawski v Texas,News,8.1,81,1h 38m
3. Every Christopher Nolan Movie Ranked,News,8.6,19,59m
4. The Fall of 2008,News,5.8,12,1h 1m
5. The Truth: The Journey Within,News,6.3,10,1h 31m
6. #Models Wanted,News,8.5,33,N/A
7. Minnesota v. We the People,News,9.4,7,55m
8. The Turning Point: XCLD: The Story of Cancel Culture,News,5.3,36,44m
9. Les ombres de l'inconnue,News,N/A,N/A,12m
10. Drachten Journaals,News,N/A,N/A,51m
11. UK General Election 2024,News,N/A,N/A,3h
12. El Genocidio Silencioso,News,N/A,N/A,1h 22m
13. Toque de Queda,News,N/A,N/A,2h
