Movie Name,Genre,Rating,Voting Counts,Duration
1. The Life of Chuck,Sci-Fi,7.4,23000,1h 51m
2. Alien: Romulus,Sci-Fi,7.1,262000,1h 59m
3. The Substance,Sci-Fi,7.2,333000,2h 21m
4. Dune: Part Two,Sci-Fi,8.5,659000,2h 46m
5. Kingdom of the Planet of the Apes,Sci-Fi,6.8,159000,2h 25m
6. Deadpool & Wolverine,Sci-Fi,7.5,522000,2h 8m
7. Furiosa: A Mad Max Saga,Sci-Fi,7.5,299000,2h 28m
8. The Wild Robot,Sci-Fi,8.2,193000,1h 42m
9. Sonic the Hedgehog 3,Sci-Fi,6.9,70000,1h 50m
10. The Assessment,Sci-Fi,6.6,16000,1h 54m
11. Venom: The Last Dance,Sci-Fi,6.0,138000,1h 50m
12. The A-Frame,Sci-Fi,5.8,101,1h 22m
13. 40 Acres,Sci-Fi,6.5,3300,1h 53m
14. Long Distance,Sci-Fi,5.7,5300,1h 26m
15. Megalopolis,Sci-Fi,4.7,38000,2h 18m
16. It's What's Inside,Sci-Fi,6.6,46000,1h 43m
17. Subservience,Sci-Fi,5.4,32000,1h 46m
18. A Quiet Place: Day One,Sci-Fi,6.3,159000,1h 39m
19. Godzilla x Kong: The New Empire,Sci-Fi,6.0,127000,1h 55m
20. Transformers One,Sci-Fi,7.6,57000,1h 44m
21. Caddo Lake,Sci-Fi,6.8,48000,1h 43m
22. Jimmy and Stiggs,Sci-Fi,6.1,249,1h 19m
23. Borderlands,Sci-Fi,4.7,52000,1h 41m
24. Despicable Me 4,Sci-Fi,6.2,71000,1h 34m
25. Ghostbusters: Frozen Empire,Sci-Fi,6.1,98000,1h 55m
26. Elevation,Sci-Fi,5.6,26000,1h 31m
27. Y2K,Sci-Fi,4.8,17000,1h 31m
28. Spaceman,Sci-Fi,5.7,45000,1h 47m
29. The Shrouds,Sci-Fi,5.8,5600,2h
30. Kalki 2898 AD,Sci-Fi,7.0,70000,3h
31. Weapon,Sci-Fi,5.6,6500,2h
32. Mars,Sci-Fi,6.8,34,1h 24m
33. Megamind vs. The Doom Syndicate,Sci-Fi,2.4,5900,1h 23m
34. Uglies,Sci-Fi,4.7,35000,1h 40m
35. Apocalypse Z: The Beginning of the End,Sci-Fi,6.1,22000,1h 57m
36. The Greatest Hits,Sci-Fi,6.2,8000,1h 34m
37. Time Cut,Sci-Fi,5.0,21000,1h 31m
38. Watchmen: Chapter I,Sci-Fi,7.1,7400,1h 23m
39. Atlas,Sci-Fi,5.6,58000,1h 58m
40. Arcadian,Sci-Fi,5.5,25000,1h 32m
41. Wallace & Gromit: Vengeance Most Fowl,Sci-Fi,7.5,38000,1h 22m
42. The Day the Earth Blew Up: A Looney Tunes Movie,Sci-Fi,6.8,7200,1h 31m
43. The Platform 2,Sci-Fi,4.9,43000,1h 39m
44. Survive,Sci-Fi,4.6,3700,1h 30m
45. Rebel Moon - Part Two: The Scargiver,Sci-Fi,5.3,61000,2h 2m
46. Ick,Sci-Fi,5.8,380,1h 33m
47. Werewolves,Sci-Fi,4.4,8000,1h 33m
48. The End,Sci-Fi,5.4,2600,2h 28m
49. Love Me,Sci-Fi,5.1,3300,1h 31m
50. In Vitro,Sci-Fi,5.6,377,1h 29m
51. Alien: Rubicon,Sci-Fi,2.4,653,1h 26m
52. The Fix,Sci-Fi,4.7,1700,1h 38m
53. Slingshot,Sci-Fi,5.7,11000,1h 48m
54. Year 10,Sci-Fi,5.4,2100,1h 36m
55. We're All Gonna Die,Sci-Fi,5.7,483,1h 50m
56. Sting,Sci-Fi,5.7,18000,1h 31m
57. Watchmen: Chapter II,Sci-Fi,7.1,3800,1h 30m
58. Afraid,Sci-Fi,5.2,15000,1h 24m
59. Die Alone,Sci-Fi,5.8,4200,1h 30m
60. Things Will Be Different,Sci-Fi,5.2,3000,1h 42m
61. V/H/S/Beyond,Sci-Fi,5.8,10000,1h 54m
62. Black,Sci-Fi,7.1,3000,1h 55m
63. U Are the Universe,Sci-Fi,7.6,472,1h 30m
64. Justice League: Crisis on Infinite Earths - Part One,Sci-Fi,6.2,9200,1h 33m
65. Breathe,Sci-Fi,4.3,7700,1h 33m
66. Rich Flu,Sci-Fi,5.0,6800,1h 56m
67. Code 8: Part II,Sci-Fi,5.7,16000,1h 40m
68. 2073,Sci-Fi,5.1,3400,1h 25m
69. Doraemon the Movie: Nobita's Earth Symphony,Sci-Fi,6.6,1700,1h 55m
70. Electric Child,Sci-Fi,6.0,117,1h 58m
71. Happyend,Sci-Fi,6.9,993,1h 53m
72. Last Night on Earth,Sci-Fi,4.7,451,1h 26m
73. Ultraman: Rising,Sci-Fi,6.9,6900,1h 57m
74. Peripheral,Sci-Fi,7.7,59,1h 28m
75. Somnium,Sci-Fi,8.5,63,1h 32m
76. Badland Hunters,Sci-Fi,5.9,13000,1h 47m
77. Justice League: Crisis on Infinite Earths - Part Three,Sci-Fi,6.1,5100,1h 34m
78. Teri Baaton Mein Aisa Uljha Jiya,Sci-Fi,6.2,55000,2h 21m
79. Uranus 2324,Sci-Fi,6.4,5100,2h 10m
80. Turn Me On,Sci-Fi,5.6,906,1h 39m
81. Test Screening,Sci-Fi,6.8,72,1h 32m
82. Else,Sci-Fi,5.4,586,1h 42m
83. Wonderland,Sci-Fi,6.2,2600,1h 53m
84. Blink,Sci-Fi,6.9,1600,2h 16m
85. UI,Sci-Fi,6.8,5800,2h 15m
86. Levels,Sci-Fi,5.0,1700,1h 33m
87. Parallel,Sci-Fi,5.3,2100,1h 28m
88. Escape from the 21st Century,Sci-Fi,6.4,1100,1h 38m
