Movie Name,Genre,Rating,Voting Counts,Duration
1. Challengers,Sport,7.0,163000,2h 11m
2. Inside Out 2,Sport,7.5,230000,1h 36m
3. Young Woman and the Sea,Sport,7.5,18000,2h 9m
4. Queen of the Ring,Sport,6.3,2400,2h 9m
5. Arthur the King,Sport,7.0,36000,1h 47m
6. Unstoppable,Sport,6.8,4700,1h 56m
7. Under Paris,Sport,5.2,38000,1h 44m
8. The Fire Inside,Sport,6.7,3200,1h 49m
9. Haikyu!! The Dumpster Battle,Sport,7.7,6900,1h 25m
10. Uma Musume: Pretty Derby - Beginning of a New Era,Sport,7.4,266,1h 48m
11. The Beautiful Game,Sport,6.3,8400,2h 5m
12. Sunshine,Sport,7.6,174,1h 31m
13. Kill the Jockey,Sport,6.4,2100,1h 36m
14. Lal Salaam,Sport,4.5,1500,2h 30m
15. Race for Glory: Audi vs. Lancia,Sport,5.8,5300,1h 49m
16. Chandu Champion,Sport,7.8,35000,2h 22m
17. Sweet Dreams,Sport,5.4,1600,1h 35m
18. You Gotta Believe,Sport,5.8,1500,1h 44m
19. Uranus 2324,Sport,6.4,5100,2h 10m
20. Lubber Pandhu,Sport,8.1,7600,2h 26m
21. Yolo,Sport,6.9,4000,2h 9m
22. Rez Ball,Sport,6.4,2700,1h 51m
23. Maidaan,Sport,7.9,23000,3h 1m
24. Moon,Sport,6.8,668,1h 32m
25. 4 Zéros,Sport,3.6,232,1h 45m
26. Blue Lock: Episode Nagi,Sport,6.6,2800,1h 31m
27. Block Pass,Sport,6.9,572,1h 44m
28. Mr. & Mrs. Mahi,Sport,5.9,16000,2h 19m
29. My Sunshine,Sport,7.0,1500,1h 40m
30. El Hareefa,Sport,6.8,1300,1h 57m
31. Cup,Sport,8.6,89,2h 26m
32. Bionic,Sport,4.3,1800,1h 50m
33. Giannis: The Marvelous Journey,Sport,8.3,1800,1h 49m
34. El Hareefa 2: El Remontada,Sport,6.3,633,2h 10m
35. Pegasus 2,Sport,6.9,1400,2h 1m
36. Grace by Night,Sport,6.5,52,2h 16m
37. The Swedish Torpedo,Sport,5.9,342,2h
38. Boxer,Sport,6.4,1400,2h 30m
39. Return to the Ring,Sport,5.4,772,1h 46m
40. The Underdoggs,Sport,5.6,4700,1h 36m
41. American Warrior,Sport,8.6,32,1h 33m
