Movie Name,Genre,Rating,Voting Counts,Duration
1. Eden,Thriller,6.4,12000,2h 9m
2. Alien: Romulus,Thriller,7.1,262000,1h 59m
3. Babygirl,Thriller,5.8,69000,1h 54m
4. Heretic,Thriller,7.0,182000,1h 51m
5. Longlegs,Thriller,6.6,201000,1h 41m
6. Kingdom of the Planet of the Apes,Thriller,6.8,159000,2h 25m
7. Twisters,Thriller,6.5,182000,2h 2m
8. Relay,Thriller,7.3,875,1h 52m
9. Conclave,Thriller,7.4,216000,2h
10. Carry-On,Thriller,6.5,178000,1h 59m
11. The Order,Thriller,6.8,53000,1h 56m
12. Kraven the Hunter,Thriller,5.5,70000,2h 7m
13. Juror #2,Thriller,7.0,112000,1h 54m
14. Speak No Evil,Thriller,6.8,117000,1h 50m
15. River of Blood,Thriller,4.8,2400,1h 26m
16. Civil War,Thriller,7.0,249000,1h 49m
17. Rebel Ridge,Thriller,6.8,94000,2h 11m
18. Blink Twice,Thriller,6.5,116000,1h 42m
19. The Beekeeper,Thriller,6.3,167000,1h 45m
20. The Count of Monte-Cristo,Thriller,7.6,40000,2h 58m
21. Smile 2,Thriller,6.7,121000,2h 7m
22. Trap,Thriller,5.8,149000,1h 45m
23. Venom: The Last Dance,Thriller,6.0,138000,1h 50m
24. Presence,Thriller,6.1,34000,1h 24m
25. September 5,Thriller,7.1,29000,1h 35m
26. Wolfs,Thriller,6.5,92000,1h 48m
27. The A-Frame,Thriller,5.8,102,1h 22m
28. Went Up the Hill,Thriller,6.3,203,1h 40m
29. Monkey Man,Thriller,6.8,95000,2h 1m
30. Road House,Thriller,6.2,173000,2h 1m
31. 40 Acres,Thriller,6.5,3300,1h 53m
32. Oddity,Thriller,6.7,49000,1h 38m
33. Abigail,Thriller,6.5,103000,1h 49m
34. Long Distance,Thriller,5.7,5300,1h 26m
35. Sharp Corner,Thriller,5.9,2700,1h 50m
36. It's What's Inside,Thriller,6.6,46000,1h 43m
37. The Surfer,Thriller,6.0,13000,1h 40m
38. Joker: Folie à Deux,Thriller,5.2,170000,2h 18m
39. Drive-Away Dolls,Thriller,5.4,25000,1h 24m
40. Barron's Cove,Thriller,6.0,687,1h 56m
41. Subservience,Thriller,5.4,32000,1h 46m
42. Madame Web,Thriller,4.1,106000,1h 56m
43. Land of Bad,Thriller,6.6,55000,1h 53m
44. Bad Boys: Ride or Die,Thriller,6.5,105000,1h 55m
45. A Quiet Place: Day One,Thriller,6.3,159000,1h 39m
46. Godzilla x Kong: The New Empire,Thriller,6.0,127000,1h 55m
47. Caddo Lake,Thriller,6.8,48000,1h 43m
48. The Watchers,Thriller,5.7,60000,1h 42m
49. Ask Me What You Want,Thriller,3.9,1500,1h 54m
50. Miller's Girl,Thriller,5.2,25000,1h 33m
51. Sleeping Dogs,Thriller,6.2,23000,1h 50m
52. Immaculate,Thriller,5.8,56000,1h 29m
53. Borderlands,Thriller,4.7,52000,1h 41m
54. Maharaja,Thriller,8.4,73000,2h 21m
55. The Prosecutor,Thriller,6.5,3200,1h 57m
56. A Different Man,Thriller,6.9,33000,1h 52m
57. The Luckiest Man in America,Thriller,6.2,5100,1h 31m
58. Argylle,Thriller,5.6,95000,2h 19m
59. Apartment 7A,Thriller,5.9,18000,1h 47m
60. Salem's Lot,Thriller,5.6,37000,1h 54m
61. Love Lies Bleeding,Thriller,6.6,60000,1h 44m
62. Shelby Oaks,Thriller,5.4,357,1h 39m
63. The Union,Thriller,5.5,55000,1h 47m
64. King Ivory,Thriller,6.2,418,2h 10m
65. Elevation,Thriller,5.6,26000,1h 31m
66. Don't Move,Thriller,5.8,42000,1h 32m
67. The Crow,Thriller,4.7,38000,1h 51m
68. Night Swim,Thriller,4.7,29000,1h 38m
69. Emilia Pérez,Thriller,5.4,93000,2h 12m
70. Cuckoo,Thriller,5.7,30000,1h 42m
71. The Rule of Jenny Pen,Thriller,6.2,7600,1h 44m
72. The Deliverance,Thriller,5.1,24000,1h 52m
73. Dirty Angels,Thriller,4.5,4900,1h 44m
74. Beverly Hills Cop: Axel F,Thriller,6.4,84000,1h 58m
75. Kung Fu Panda 4,Thriller,6.3,73000,1h 34m
76. Bone Lake,Thriller,N/A,N/A,1h 34m
77. Hellboy: The Crooked Man,Thriller,4.5,15000,1h 39m
78. The Instigators,Thriller,6.2,40000,1h 41m
79. The Killer,Thriller,5.7,15000,2h 6m
80. Weekend in Taipei,Thriller,5.7,5800,1h 40m
81. The Seed of the Sacred Fig,Thriller,7.6,17000,2h 47m
82. The Shrouds,Thriller,5.8,5600,2h
83. The Master and Margarita,Thriller,7.1,5500,2h 36m
84. Lucky Baskhar,Thriller,8.0,36000,2h 28m
85. Kalki 2898 AD,Thriller,7.0,70000,3h
86. Force of Nature: The Dry 2,Thriller,5.9,8000,2h
87. Weapon,Thriller,5.6,6500,2h
88. Long Gone Heroes,Thriller,5.1,1500,1h 41m
89. MadS,Thriller,6.4,9600,1h 29m
90. Homestead,Thriller,5.2,4500,1h 52m
91. Megamind vs. The Doom Syndicate,Thriller,2.4,5900,1h 23m
92. The Cut,Thriller,6.7,121,1h 39m
93. Pushpa: The Rule - Part 2,Thriller,6.1,61000,3h 21m
94. Greedy People,Thriller,6.2,13000,1h 52m
95. Boneyard,Thriller,4.1,5400,1h 36m
96. Apocalypse Z: The Beginning of the End,Thriller,6.1,22000,1h 57m
97. Bring Them Down,Thriller,6.5,4800,1h 46m
98. The Killer's Game,Thriller,5.8,19000,1h 44m
99. In a Violent Nature,Thriller,5.6,28000,1h 34m
100. A Sacrifice,Thriller,5.0,6100,1h 34m
101. Time Cut,Thriller,5.0,21000,1h 31m
102. Mothers' Instinct,Thriller,6.3,22000,1h 34m
103. Viduthalai Part 2,Thriller,7.7,17000,2h 50m
104. Cloud,Thriller,6.4,2300,2h 4m
105. Atlas,Thriller,5.6,58000,1h 58m
106. F*** Marry Kill,Thriller,5.3,4100,1h 37m
107. The Kingdom,Thriller,7.0,1400,1h 52m
108. Martin,Thriller,2.2,36000,2h 27m
109. Inside,Thriller,6.3,721,1h 44m
110. Never Let Go,Thriller,5.4,17000,1h 41m
111. Arcadian,Thriller,5.5,25000,1h 32m
112. Blackout,Thriller,6.1,11000,2h 2m
113. Queen of Bones,Thriller,4.6,386,1h 30m
114. The Platform 2,Thriller,4.9,43000,1h 39m
115. Canary Black,Thriller,5.4,13000,1h 41m
116. Absolution,Thriller,5.2,9600,1h 52m
117. Survive,Thriller,4.6,3700,1h 30m
118. Everyone Is Going to Die,Thriller,3.8,457,1h 24m
119. Lift,Thriller,5.5,51000,1h 47m
120. The Shadow Strays,Thriller,6.5,10000,2h 24m
121. Manjummel Boys,Thriller,8.2,29000,2h 15m
122. Noise,Thriller,5.9,240,1h 33m
123. Bramayugam,Thriller,7.8,15000,2h 19m
124. Cellar Door,Thriller,5.2,5100,1h 37m
125. Dirty Boy,Thriller,7.6,49,1h 38m
126. Killer Heat,Thriller,5.6,14000,1h 35m
127. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Thriller,7.2,9300,1h 44m
128. Push,Thriller,4.7,730,1h 29m
129. Black Dog,Thriller,7.2,4300,1h 56m
130. Werewolves,Thriller,4.4,8000,1h 33m
131. Sew Torn,Thriller,6.0,1200,1h 40m
132. Take Cover,Thriller,5.1,3200,1h 30m
