Movie Name,Genre,Rating,Voting Counts,Duration
1. William Tell,War,5.7,4700,2h 14m
2. The Ministry of Ungentlemanly Warfare,War,6.8,144000,2h 2m
3. The Six Triple Eight,War,6.7,29000,2h 7m
4. Dirty Angels,War,4.5,4900,1h 44m
5. Nr. 24,War,7.5,17000,1h 51m
6. Blitz,War,6.2,17000,2h
7. Amaran,War,8.1,21000,2h 47m
8. Uprising,War,6.6,6200,2h 6m
9. My Dead Friend Zoe,War,6.5,3100,1h 43m
"10. Canadian, Sniper",War,3.4,381,1h 23m
11. Murder Company,War,3.6,1700,1h 26m
12. Without Blood,War,7.3,118,1h 31m
13. Chandu Champion,War,7.8,35000,2h 22m
14. Bau: Artist at War,War,7.4,70,2h 10m
15. Quisling: The Final Days,War,7.1,1400,2h 26m
16. The Witch: Revenge,War,5.3,908,1h 40m
17. In the Fire of War,War,6.6,301,1h 55m
"18. Love, Courage and the Battle of Bushy Run",War,5.0,202,1h 53m
19. The Friendly,War,8.8,42,1h 41m
20. Escape from Germany,War,5.4,1100,1h 37m
21. Goebbels and the Führer,War,6.7,2800,2h 15m
22. Porcelain War,War,7.1,1300,1h 27m
23. Intercepted,War,8.0,619,1h 35m
24. Before Dawn,War,5.4,1200,1h 41m
25. Way Home,War,6.4,1600,1h 38m
26. Battlefield,War,6.2,738,1h 44m
27. Ei koskaan yksin,War,7.0,504,1h 25m
28. 24 Hours to D-Day,War,2.8,141,1h 23m
29. Invasion,War,4.8,776,1h 31m
30. Russians at War,War,2.1,1100,2h 14m
31. Klitschko: More Than a Fight,War,6.3,519,1h 36m
32. Laws of Man,War,4.9,1400,1h 38m
33. Captain Miller,War,7.2,14000,2h 37m
34. The Last Front,War,5.5,667,1h 38m
35. The Shamrock Spitfire,War,5.1,525,1h 48m
36. Conquer: Lahad Datu,War,6.6,575,2h
37. The Ballad of Davy Crockett,War,4.6,276,1h 36m
38. All the Lost Ones,War,3.6,282,1h 46m
39. Kang Mak,War,6.4,934,2h 2m
40. Decoded,War,5.7,484,2h 36m
41. Ataturk II: 1881-1919,War,8.8,2500,2h 21m
42. Kargil 1999- The Untold Story of the Indian Air Force,War,8.3,23,N/A
43. Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,War,8.3,684,2h 54m
44. Call of Duty,War,8.0,14,N/A
45. Le quatrième mur,War,6.4,194,1h 56m
46. The Volunteers: The Battle of Life and Death,War,6.1,305,2h 24m
47. WWII: Operation Phoenix,War,4.0,110,1h 46m
48. Hitler,War,5.2,322,2h 8m
49. The Yin Yang Master Zero,War,5.7,309,1h 52m
50. Chhava,War,8.4,2300,51m
51. Bardejov,War,4.8,184,1h 25m
52. Fortunes of War,War,3.5,187,1h 25m
53. Aserb: The Squadron,War,5.2,352,2h
"54. America, Invaded",War,6.9,21,1h 22m
55. Red Poppies,War,4.7,355,2h 2m
56. Air War,War,6.4,129,1h 46m
57. The Invasion,War,6.6,131,2h 25m
58. The Other Side,War,5.8,293,1h 37m
59. Drava se ne predaje,War,7.1,18,1h 16m
60. Der Deserteur,War,8.3,40,1h 33m
61. War Blade,War,3.9,263,1h 34m
62. The Epidemic,War,5.9,72,1h 35m
63. The Mousetrap,War,7.1,29,1h 27m
64. Peter Brook's the Mahabharata (8K),War,N/A,N/A,2h 53m
65. White Courage,War,6.4,653,1h 55m
66. The Liberation Men,War,6.5,93,1h 30m
67. Haywire: Gunslingers,War,2.0,34,1h 25m
68. Hengyang 1944,War,6.5,26,N/A
69. Songs of Slow Burning Earth,War,7.6,285,1h 35m
70. Ludzie,War,6.5,61,1h 57m
"71. Us, Our Pets and the War",War,8.6,433,1h 19m
72. October 7 - Al Jazeera Investigations,War,5.5,65,1h
73. Korni,War,7.7,152,2h 17m
74. We Were Recruits,War,7.0,250,1h 32m
75. Da Vinci,War,8.3,84,1h 21m
76. Scars,War,7.8,29,1h 14m
"77. Dao, Pho Va Piano",War,5.7,220,1h 40m
78. Bozji gnjev,War,7.2,60,1h 51m
"79. Por ti, Portugal, eu juro!",War,8.0,7,1h 38m
80. Duffle Bag Boy,War,6.7,62,N/A
81. Burgemeestersmoord,War,6.5,89,1h 54m
82. Un milione di granelli di sabbia,War,N/A,N/A,1h 4m
83. Los indomables,War,6.5,9,1h 46m
84. Village of Death: Oradour-sur-Glane 1944,War,7.8,17,58m
85. The Dakota War: Attack on Fort Ridgely,War,N/A,N/A,1h 20m
86. Blood Vendetta,War,7.5,245,1h 30m
87. Occupied,War,N/A,N/A,1h 17m
88. Casques bleuEs,War,N/A,N/A,1h 22m
89. Dwie siostry,War,5.3,45,1h 32m
90. The Dugout,War,5.4,774,1h 54m
91. The Battle for Kyiv,War,7.6,47,N/A
"92. Arlempdes, la légende du premier château de la Loire",War,6.8,13,N/A
93. The Daughter,War,6.6,13,1h 37m
94. Renverse,War,N/A,N/A,2h 7m
95. Sem chyornykh bumag,War,6.6,60,1h 36m
96. Burning Stars,War,6.5,49,1h 24m
97. Ukraine Mon Amour,War,N/A,N/A,N/A
98. Dun huang ying xiong,War,N/A,N/A,N/A
99. Majnoon,War,6.9,35,N/A
100. The West Sky,War,5.1,147,N/A
101. Levizia,War,N/A,N/A,N/A
102. Operation Thule,War,N/A,N/A,2h 40m
103. Jewish Revenge 6: Gaza in Focus,War,6.0,27,1h 10m
104. Kara Kyz,War,5.1,25,1h 51m
105. Pidyomna syla,War,8.5,76,1h 27m
106. El laberinto. La guerra secreta de España,War,N/A,N/A,2h 1m
107. Fedeltà Soldati. Prigionieri.,War,N/A,N/A,1h 20m
108. Mythical Creatures,War,N/A,N/A,1h 30m
109. 72 Sigan,War,N/A,N/A,4h
110. Life and Death in Gaza,War,8.2,13,1h 28m
111. Eddy's oorlog,War,7.7,47,1h 41m
112. Saigon,War,N/A,N/A,N/A
113. Sha Hai zhi Men,War,N/A,N/A,N/A
114. The Youngest Partisan,War,N/A,N/A,2h 15m
115. Bloody Sniper,War,N/A,N/A,1h 33m
116. Vremya vernutsya,War,6.8,22,1h 40m
117. VC 571,War,N/A,N/A,N/A
118. No Tomorrow,War,N/A,N/A,N/A
119. Operation Star,War,7.8,25,1h 42m
"120. Gaza, since October 7",War,4.6,7,1h 34m
121. Kadetar,War,N/A,N/A,1h 59m
122. Pozyvnoy «Passazhir»,War,4.7,239,1h 41m
123. Rinnans rival,War,N/A,N/A,1h 34m
124. Churchill's Forgotten War,War,7.5,16,47m
125. Here We Are Now,War,N/A,N/A,1h 2m
126. Colonel Xanthi,War,N/A,N/A,N/A
127. Da Tu Wei,War,N/A,N/A,1h 50m
128. Ekpebiwo m (I have Decided),War,N/A,N/A,N/A
129. For the Love of the Motherland,War,N/A,N/A,N/A
130. Iron Lady Sniper,War,N/A,N/A,1h 12m
131. Athletes of War,War,N/A,N/A,1h 35m
132. Life Train,War,6.9,45,1h 30m
133. Iyunskaya polyn,War,8.7,7,1h 19m
134. Krigsvarsleren,War,7.8,8,55m
135. The Lights,War,N/A,N/A,N/A
136. Roots,War,N/A,N/A,1h 32m
137. Anzac.Lemnos.1915.,War,N/A,N/A,51m
138. Prazdnik,War,N/A,N/A,1h 13m
139. On Moral Grounds,War,8.4,7,1h 14m
140. Wo de Ye Ye,War,N/A,N/A,1h 37m
141. Attack Jiajin Mountain,War,N/A,N/A,1h 36m
142. Twisted America,War,N/A,N/A,49m
143. Krasnye lenty,War,5.5,22,1h 2m
144. Dosije Kosovo - Pogrom,War,7.6,5,1h 49m
145. Malvinas: O Diário de uma Guerra,War,N/A,N/A,N/A
146. Do You Want to See Part Two?,War,N/A,N/A,1h 14m
147. 11.11.18 Soldat Inconnu,War,N/A,N/A,1h 18m
148. As Noites Ainda Cheiram a Pólvora,War,N/A,N/A,1h 32m
149. Landscapes of Home,War,N/A,N/A,55m
150. Amarjeet Rana,War,N/A,N/A,28m
