Movie Name,Genre,Rating,Voting Counts,Duration
1. The Unholy Trinity,Western,5.5,3100,1h 35m
2. Horizon: An American Saga - Chapter 1,Western,6.6,42000,3h 1m
3. Horizon: An American Saga - Chapter 2,Western,7.1,1500,3h 10m
4. The Thicket,Western,5.8,4500,1h 48m
5. Rust,Western,5.5,3200,2h 19m
6. Pedro Páramo,Western,6.3,3200,2h 10m
7. Buffalo Kids,Western,6.6,838,1h 33m
8. Desert Fiends,Western,4.6,974,1h 46m
9. Golden Kamuy,Western,6.3,2700,2h 7m
10. Same Old West,Western,7.6,430,1h 38m
11. Wynonna Earp: Vengeance,Western,5.6,1700,1h 36m
12. Bitter Gold,Western,7.8,83,1h 23m
13. Malaikottai Vaaliban,Western,6.0,4200,2h 36m
14. The Night They Came Home,Western,3.6,467,1h 45m
15. Calamity Jane,Western,4.4,820,1h 35m
16. Outlaw Posse,Western,4.3,562,1h 48m
17. Adiós al amigo,Western,8.2,41,1h 58m
18. Seven Cemeteries,Western,4.6,680,1h 24m
19. Ghosts of Red Ridge,Western,3.3,191,1h 21m
20. Was Once a Hero,Western,8.5,68,N/A
21. They Call Her Death,Western,5.4,231,1h 32m
22. Over the Red River,Western,3.5,104,1h 23m
23. The Guardsmen,Western,3.1,192,1h 13m
24. Eye for an Eye 2,Western,6.6,590,1h 30m
25. Taken from Rio Bravo,Western,3.0,342,1h 20m
26. Andromeda: 1883,Western,3.9,20,1h 15m
27. Paradise,Western,6.9,83,1h 23m
28. Bolero,Western,3.0,31,N/A
29. Unnatural,Western,3.7,147,1h 43m
30. Searching for the Elephant,Western,5.8,38,1h 56m
31. Escanyapobres,Western,6.2,99,1h 42m
32. Coyote Woman,Western,2.1,78,1h 50m
33. Fyre Rises,Western,6.0,330,1h 50m
34. Astral Plane Drifter,Western,8.8,33,N/A
35. Joe Crist,Western,4.0,517,53m
36. Harsh Treatment,Western,8.3,16,N/A
37. My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,Western,5.3,12,1h 14m
38. The Ecstasy of Gold: The Treasure of Jesse James,Western,5.6,21,1h 30m
39. Guns Blazin,Western,7.1,10,1h 28m
40. Doc Holliday 2,Western,6.1,12,N/A
41. Six Guns for Hire,Western,N/A,N/A,N/A
42. Lady Outlaw,Western,6.5,27,1h 44m
43. Doc Holliday 3,Western,5.0,10,N/A
44. The Dakota War: Attack on Fort Ridgely,Western,N/A,N/A,1h 20m
45. The Guardsmen: Part 3,Western,3.4,88,N/A
46. The Dakota War: Revenge,Western,N/A,N/A,1h 32m
47. Buried on Shine Mountain,Western,8.8,10,N/A
48. Dans l'ombre de Marlow,Western,N/A,N/A,1h 20m
49. The Film Café,Western,N/A,N/A,N/A
50. Oltre il confine,Western,6.4,10,1h 16m
51. Myall Creek Day of Justice,Western,6.4,17,1h 18m
52. Mr. Pettigrew,Western,N/A,N/A,N/A
53. In Search of Bass Reeves,Western,6.1,62,1h 45m
54. Death After Dusk,Western,5.6,97,2h 20m
55. Zoloto Umalty,Western,4.9,114,1h 49m
56. Hinter dem Eisernen Horizont,Western,7.5,17,1h 28m
57. The Guardsmen: Part 2,Western,3.6,88,N/A
58. Last Flamingo of the Red Summer Sunset,Western,8.8,14,1h 20m
59. Once Upon a Time in Amityville,Western,3.7,57,1h 13m
60. Jama,Western,6.0,18,1h 11m
61. The Ballad of Winchester Pete,Western,N/A,N/A,N/A
62. Boot Hill,Western,N/A,N/A,N/A
63. Goin' Home,Western,N/A,N/A,1h 31m
64. Bo Nan Za,Western,9.1,29,1h 1m
65. Travesty,Western,7.3,12,1h 18m
66. Morningstar,Western,N/A,N/A,1h 24m
67. 12 Million Dollar Movie on Paper,Western,N/A,N/A,N/A
68. Ghost Town,Western,N/A,N/A,N/A
69. El Vaquero,Western,8.4,13,1h 33m
70. The forgotten Winchester,Western,N/A,N/A,N/A
71. The Golden Ghosts,Western,N/A,N/A,1h
72. The Wicked: Reborn,Western,N/A,N/A,N/A
73. A Cowboy Against Thunder,Western,N/A,N/A,N/A
74. Lolo & Sosaku: The Western Archive,Western,N/A,N/A,1h 6m
"75. The Goods, Bads and Uglys",Western,N/A,N/A,N/A
76. The Partners,Western,N/A,N/A,58m
77. Bullet or Rope,Western,N/A,N/A,55m
78. Attack on Tranquility,Western,N/A,N/A,1h 4m
79. The Letter,Western,N/A,N/A,N/A
80. Pale Moon,Western,N/A,N/A,N/A
81. The Stand at Alder Creek,Western,N/A,N/A,53m
82. TV Heroes of the Wild West,Western,N/A,N/A,N/A
83. The Rattlesnake Twins,Western,N/A,N/A,50m
84. Sinners in the Hands of an Angry God,Western,N/A,N/A,1h 34m
85. Vadogga,Western,N/A,N/A,1h 25m
