Movie Name,Genre,Rating,Voting Counts,Duration
Mahavatar Narsimha,Action,9.2,32000.0,130.0
Freaky Tales,Action,6.3,11000.0,107.0
Gladiator II,Action,6.5,270000.0,148.0
William Tell,Action,5.7,4700.0,134.0
Dune: Part Two,Action,8.5,659000.0,166.0
The Ministry of Ungentlemanly Warfare,Action,6.8,144000.0,122.0
Kingdom of the Planet of the Apes,Action,6.8,159000.0,145.0
Deadpool & Wolverine,Action,7.5,522000.0,128.0
Furiosa: A Mad Max Saga,Action,7.5,299000.0,148.0
Twisters,Action,6.5,182000.0,122.0
Relay,Action,7.2,835.0,112.0
Carry-On,Action,6.5,178000.0,119.0
Kraven the Hunter,Action,5.5,70000.0,127.0
River of Blood,Action,4.8,2400.0,86.0
Civil War,Action,7.0,249000.0,109.0
Rebel Ridge,Action,6.8,94000.0,131.0
The Beekeeper,Action,6.3,167000.0,105.0
The Fall Guy,Action,6.8,233000.0,126.0
Sonic the Hedgehog 3,Action,6.9,70000.0,110.0
The Count of Monte-Cristo,Action,7.6,40000.0,178.0
Venom: The Last Dance,Action,6.0,138000.0,110.0
Monkey Man,Action,6.8,95000.0,121.0
Road House,Action,6.2,173000.0,121.0
40 Acres,Action,6.5,3300.0,113.0
Abigail,Action,6.5,103000.0,109.0
Fight or Flight,Action,6.4,18000.0,102.0
The Unholy Trinity,Action,5.5,3100.0,95.0
Drive-Away Dolls,Action,5.4,25000.0,84.0
Madame Web,Action,4.1,106000.0,116.0
Land of Bad,Action,6.6,55000.0,113.0
Bad Boys: Ride or Die,Action,6.5,105000.0,115.0
Godzilla x Kong: The New Empire,Action,6.0,127000.0,115.0
Transformers One,Action,7.6,57000.0,104.0
Red One,Action,6.3,145000.0,123.0
Borderlands,Action,4.7,52000.0,101.0
Maharaja,Action,8.4,73000.0,141.0
The Prosecutor,Action,6.5,3100.0,117.0
Argylle,Action,5.6,95000.0,139.0
The Union,Action,5.5,55000.0,107.0
Elevation,Action,5.6,26000.0,91.0
The Crow,Action,4.7,38000.0,111.0
The Lord of the Rings: The War of the Rohirrim,Action,6.3,35000.0,134.0
Dirty Angels,Action,4.5,4900.0,104.0
Damsel,Action,6.1,113000.0,110.0
Beverly Hills Cop: Axel F,Action,6.4,84000.0,118.0
Kung Fu Panda 4,Action,6.3,73000.0,94.0
Old Guy,Action,5.2,4000.0,94.0
Vettaiyan,Action,6.9,40000.0,163.0
Hellboy: The Crooked Man,Action,4.5,15000.0,99.0
The Instigators,Action,6.2,40000.0,101.0
The Killer,Action,5.7,15000.0,126.0
Weekend in Taipei,Action,5.7,5800.0,100.0
Attack on Titan the Movie: The Last Attack,Action,9.2,19000.0,145.0
Kalki 2898 AD,Action,7.0,70000.0,180.0
Weapon,Action,5.6,6500.0,120.0
Jackpot!,Action,5.8,32000.0,106.0
Long Gone Heroes,Action,5.1,1500.0,101.0
Homestead,Action,5.2,4500.0,112.0
Megamind vs. The Doom Syndicate,Action,2.4,5900.0,83.0
Pushpa: The Rule - Part 2,Action,6.1,61000.0,201.0
Uglies,Action,4.7,35000.0,100.0
Azrael,Action,5.3,13000.0,86.0
Boneyard,Action,4.1,5400.0,96.0
Apocalypse Z: The Beginning of the End,Action,6.1,22000.0,117.0
Blitz,Action,6.2,17000.0,120.0
The Killer's Game,Action,5.8,19000.0,104.0
Brothers,Action,5.4,14000.0,89.0
Thelma,Action,7.0,25000.0,98.0
Viduthalai Part 2,Action,7.7,17000.0,170.0
Cloud,Action,6.4,2300.0,124.0
Watchmen: Chapter I,Action,7.1,7400.0,83.0
Atlas,Action,5.6,58000.0,118.0
Martin,Action,2.2,36000.0,147.0
Role Play,Action,5.5,20000.0,100.0
Arcadian,Action,5.5,25000.0,92.0
Auron Mein Kahan Dum Tha,Action,6.3,41000.0,150.0
Canary Black,Action,5.4,13000.0,101.0
Absolution,Action,5.2,9600.0,112.0
Solo Leveling: ReAwakening,Action,8.8,15000.0,121.0
Survive,Action,4.6,3700.0,90.0
Fighter,Action,6.2,53000.0,166.0
Lift,Action,5.5,51000.0,107.0
Descendants: The Rise of Red,Action,4.7,7600.0,95.0
The Shadow Strays,Action,6.5,10000.0,144.0
Rebel Moon - Part Two: The Scargiver,Action,5.3,61000.0,122.0
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Action,7.2,9300.0,104.0
Amaran,Action,8.1,21000.0,167.0
Werewolves,Action,4.4,8000.0,93.0
Take Cover,Action,5.1,3200.0,90.0
Alien: Rubicon,Action,2.4,653.0,86.0
Under Paris,Action,5.2,38000.0,104.0
Ghost Killer,Action,6.3,493.0,105.0
The Fix,Action,4.7,1700.0,98.0
Armor,Action,3.6,4900.0,89.0
The Silent Hour,Action,6.1,8800.0,99.0
I Am What I Am 2,Action,7.6,501.0,134.0
Marco,Action,6.7,24000.0,145.0
Operation: Raqqa,Action,5.6,339.0,107.0
Aftermath,Action,5.2,4600.0,97.0
Striking Rescue,Action,5.6,829.0,111.0
Watchmen: Chapter II,Action,7.1,3800.0,90.0
Trigger Warning,Action,4.6,20000.0,106.0
Twilight of the Warriors: Walled In,Action,6.9,11000.0,126.0
Uprising,Action,6.6,6200.0,126.0
Aavesham,Action,7.8,31000.0,155.0
No Way Up,Action,4.6,11000.0,90.0
Elyas,Action,6.1,1700.0,105.0
The Traveller,Action,5.2,244.0,134.0
The Family Star,Action,5.4,5700.0,159.0
Chief of Station,Action,4.7,5000.0,97.0
Hotspring Sharkattack,Action,5.8,120.0,70.0
Baby John,Action,5.0,18000.0,159.0
Khadaan,Action,7.1,2300.0,137.0
Justice League: Crisis on Infinite Earths - Part One,Action,6.2,9200.0,93.0
Damaged,Action,4.7,7900.0,97.0
Code 8: Part II,Action,5.7,16000.0,100.0
Dan Da Dan: First Encounter,Action,8.2,3300.0,83.0
The Roundup: Punishment,Action,6.6,5900.0,109.0
Cells at Work!,Action,6.7,1200.0,109.0
Revolver,Action,5.5,1000.0,114.0
Red Right Hand,Action,5.5,6300.0,111.0
Karma,Action,7.9,1500.0,167.0
Murder Company,Action,3.6,1700.0,86.0
My Spy: The Eternal City,Action,5.7,11000.0,112.0
Life After Fighting,Action,6.4,2300.0,126.0
Classified,Action,3.7,3000.0,105.0
One More Shot,Action,5.4,3900.0,103.0
Cash Out,Action,4.8,3300.0,92.0
Yolo,Action,6.9,4000.0,129.0
Blood Star,Action,6.3,6300.0,97.0
Gunner,Action,3.2,3100.0,106.0
Ultraman: Rising,Action,6.9,6900.0,117.0
Chandu Champion,Action,7.8,35000.0,142.0
Officer Black Belt,Action,6.9,9200.0,108.0
Devara Part 1,Action,6.0,22000.0,176.0
Singham Again,Action,4.3,76000.0,144.0
Pins & Needles,Action,5.8,73.0,95.0
The Greatest of All Time,Action,5.7,24000.0,183.0
Paradox Effect,Action,6.0,11000.0,87.0
Night Call,Action,6.7,2800.0,97.0
Pani,Action,6.9,3500.0,143.0
Saripodhaa Sanivaaram,Action,7.0,11000.0,166.0
Guntur Kaaram,Action,5.4,25000.0,159.0
Badland Hunters,Action,5.9,13000.0,107.0
Harbin,Action,6.2,1200.0,108.0
Justice League: Crisis on Infinite Earths - Part Three,Action,6.1,5100.0,94.0
The Quiet Ones,Action,6.1,1300.0,110.0
Raayan,Action,6.5,13000.0,145.0
Despatch,Action,4.4,4800.0,153.0
Handsome Guys,Action,6.5,1300.0,101.0
Bougainvillea,Action,6.4,3500.0,138.0
11 Rebels,Action,6.2,883.0,155.0
A.R.M,Action,7.1,9300.0,150.0
12 Gaun,Action,6.5,977.0,147.0
UI,Action,6.8,5800.0,135.0
