Movie Name,Genre,Rating,Voting Counts,Duration
# 1 Fan,Comedy,6.354506193885668,0.0,86.0
#Aay,Comedy,6.4,831.0,142.0
#Amfad: All My Friends Are Dead,"Horror,Mystery,Thriller",4.5,1300.0,91.0
#Comicsgate - How To Kill A Movement,Documentary,6.354506193885668,0.0,127.0
#Familyman,Drama,6.354506193885668,0.0,125.0
#Lifestories,Drama,8.2,2000.0,104.0
#Lovemyselfie,Comedy,6.354506193885668,0.0,86.0
#Missingcouple,Horror,5.3,834.0,93.0
#Models Wanted,"Action,Drama,Horror,Mystery,News",8.5,33.0,86.0
#Ootd: Outfit Of The Designer,"Drama,Romance",5.7,51.0,107.0
#Rats,Drama,6.354506193885668,0.0,86.0
#Revolutionanyone,Documentary,6.354506193885668,0.0,84.0
#Untruth: The Psychology Of Trumpism,Documentary,7.0,205.0,90.0
'Descontrol',"Action,Drama,Thriller",6.354506193885668,0.0,86.0
(A)Diexodos,Music,6.354506193885668,0.0,86.0
(Pri)Sons,"Action,Crime,Horror",4.9,316.0,100.0
"(Re)Membering The Riots In Afrikaanderwijk In 1972 Or Guest, Host, Ghos-Ti",Documentary,6.354506193885668,0.0,86.0
(S)Kids,"Animation,Drama,Musical",8.2,164.0,85.0
(Un)Lucky Sisters,Comedy,5.2,910.0,82.0
*Smiles And Kisses You*,Documentary,7.8,16.0,88.0
*Yes I Do*,Romance,6.354506193885668,0.0,86.0
...And Juliet,Documentary,6.354506193885668,0.0,86.0
"...Mayombe, Paula?","Drama,Fantasy,History,Horror,Mystery,Thriller",6.354506193885668,0.0,86.0
.Ask,Horror,6.9,97.0,89.0
0000 Kilometre,Romance,2.9,329.0,110.0
00:00 Absurdo Error Andinista,Comedy,6.354506193885668,0.0,64.0
01,Documentary,6.354506193885668,0.0,100.0
01 Redux,Documentary,6.354506193885668,0.0,86.0
045 - Sporen Van Mijnstreek-Oost,Documentary,9.3,8.0,86.0
06.02 Umut,Documentary,6.354506193885668,0.0,86.0
07.03,Drama,6.354506193885668,0.0,86.0
1 Bad Azz Day,Comedy,6.5,9.0,86.0
1 Million Followers,Thriller,4.5,891.0,101.0
1 Thessalonians,Documentary,6.354506193885668,0.0,86.0
1-800-Missing,Drama,6.354506193885668,0.0,80.0
1-800-On-Her-Own,"Documentary,Drama",7.7,22.0,77.0
10 Days Of A Curious Man,"Crime,Drama,Mystery,Thriller",5.7,1400.0,110.0
10 Lives,"Animation,Comedy,Family,Fantasy",5.9,2200.0,88.0
10 Pasimatymu,"Comedy,Romance",5.6,33.0,99.0
10 Rounds,Documentary,6.354506193885668,0.0,86.0
10 Things About Sally,"Comedy,Romance",6.354506193885668,0.0,80.0
10 Years A Dog,"Comedy,Drama",6.354506193885668,0.0,90.0
10/31 Part 4,"Drama,Fantasy,Horror,Mystery,Thriller",5.5,19.0,87.0
100 Crores,Action,5.2,4100.0,86.0
100 Di Questi Anni,"Comedy,Documentary",6.2,9.0,90.0
100 Litraa Sahtia,Comedy,7.0,401.0,88.0
100 Yillik Armagan,Documentary,7.2,23.0,86.0
"100,000,000,000,000",Drama,6.5,76.0,77.0
100Db Indust-Bag,"Documentary,Music",8.9,10.0,61.0
101 Reasons To Visit South Korea,Documentary,6.354506193885668,0.0,86.0
1040 Km,Comedy,6.354506193885668,0.0,86.0
